ACCELEROMETER.X,ACCELEROMETER.Y,ACCELEROMETER.Z,ORIENTATION.Z,ORIENTATION.X,ORIENTATION.Y,Global X,Global Y,Global Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6704,1.6664,9.2512,99.26,-8.32,11.43,-0.5026550839,1.1097891524,9.3448773381,18,2018-07-07 14:53:41:495
-0.6704,1.6664,9.2512,99.26,-8.32,11.43,-0.5026550839,1.1097891524,9.3448773381,41,2018-07-07 14:53:41:518
-0.6704,1.6664,9.2512,101.07,-10.18,4.14,-0.0006476686,-0.0009129982,9.4239601711,65,2018-07-07 14:53:41:542
-0.1149,2.4421,8.7245,101.07,-10.18,4.14,-0.9470865153,0.3397272547,9.0045303706,89,2018-07-07 14:53:41:566
-0.1149,2.4421,8.7245,101.07,-10.18,4.14,-0.9470865153,0.3397272547,9.0045303706,114,2018-07-07 14:53:41:591
-0.1149,2.4421,8.7245,101.07,-10.18,4.14,-0.9470865153,0.3397272547,9.0045303706,138,2018-07-07 14:53:41:615
-0.1149,2.4421,8.7245,101.07,-10.18,4.14,-0.9470865153,0.3397272547,9.0045303706,162,2018-07-07 14:53:41:639
-0.6704,2.9975,8.9735,101.07,-10.18,4.14,-1.3306078974,-0.2815460392,9.3866053028,186,2018-07-07 14:53:41:663
-0.6704,2.9975,8.9735,101.07,-10.18,4.14,-1.3306078974,-0.2815460392,9.3866053028,210,2018-07-07 14:53:41:687
-0.6704,2.9975,8.9735,101.07,-10.18,4.14,-1.3306078974,-0.2815460392,9.3866053028,234,2018-07-07 14:53:41:711
-0.6704,2.9975,8.9735,99.76,-18.42,4.27,-0.0004982186,-0.0004945321,9.4846267279,257,2018-07-07 14:53:41:734
-0.6704,2.9975,8.9735,99.76,-18.42,4.27,-0.0004982186,-0.0004945321,9.4846267279,282,2018-07-07 14:53:41:759
-0.2873,3.2561,9.2895,99.76,-18.42,4.27,-0.221801171,0.3729599501,9.8382541066,305,2018-07-07 14:53:41:782
-0.2873,3.2561,9.2895,99.76,-18.42,4.27,-0.221801171,0.3729599501,9.8382541066,329,2018-07-07 14:53:41:806
-0.2873,3.2561,9.2895,99.76,-18.42,4.27,-0.221801171,0.3729599501,9.8382541066,353,2018-07-07 14:53:41:830
-0.2873,3.2561,9.2895,99.76,-18.42,4.27,-0.221801171,0.3729599501,9.8382541066,377,2018-07-07 14:53:41:854
-0.2873,3.2561,9.2895,99.76,-18.42,4.27,-0.221801171,0.3729599501,9.8382541066,401,2018-07-07 14:53:41:878
-0.1437,3.2178,9.7971,99.76,-18.42,4.27,-0.0623701944,0.5840375337,10.2962646167,426,2018-07-07 14:53:41:903
-0.1437,3.2178,9.7971,101.05,-18.18,0.84,-0.0001014215,-0.000077592,10.3130041658,449,2018-07-07 14:53:41:926
-0.1437,3.2178,9.7971,101.05,-18.18,0.84,-0.0001014215,-0.000077592,10.3130041658,474,2018-07-07 14:53:41:951
-0.1437,3.2178,9.7971,101.05,-18.18,0.84,-0.0001014215,-0.000077592,10.3130041658,498,2018-07-07 14:53:41:975
-0.1437,3.2178,9.7971,101.05,-18.18,0.84,-0.0001014215,-0.000077592,10.3130041658,522,2018-07-07 14:53:41:999
-0.1053,1.9154,9.1363,101.05,-18.18,0.84,1.0063408735,0.2257172841,9.2783701529,546,2018-07-07 14:53:42:023
-0.1053,1.9154,9.1363,101.05,-18.18,0.84,1.0063408735,0.2257172841,9.2783701529,569,2018-07-07 14:53:42:046
-0.1053,1.9154,9.1363,101.05,-18.18,0.84,1.0063408735,0.2257172841,9.2783701529,593,2018-07-07 14:53:42:070
-0.1053,1.9154,9.1363,101.05,-18.18,0.84,1.0063408735,0.2257172841,9.2783701529,618,2018-07-07 14:53:42:095
-0.1053,1.9154,9.1363,101.05,-18.18,0.84,1.0063408735,0.2257172841,9.2783701529,642,2018-07-07 14:53:42:119
1.245,2.1739,9.6917,103.5,-11.84,0.66,-0.4549392838,1.2858808241,9.9168773238,665,2018-07-07 14:53:42:142
1.245,2.1739,9.6917,103.5,-11.84,0.66,-0.4549392838,1.2858808241,9.9168773238,689,2018-07-07 14:53:42:166
1.245,2.1739,9.6917,103.5,-11.84,0.66,-0.4549392838,1.2858808241,9.9168773238,713,2018-07-07 14:53:42:190
1.245,2.1739,9.6917,103.5,-11.84,0.66,-0.4549392838,1.2858808241,9.9168773238,737,2018-07-07 14:53:42:214
1.245,2.1739,9.6917,103.5,-11.84,0.66,-0.4549392838,1.2858808241,9.9168773238,762,2018-07-07 14:53:42:239
-0.0958,2.4229,8.169,103.5,-11.84,0.66,-0.6755235287,-0.1639226318,8.4928782155,786,2018-07-07 14:53:42:263
-0.0958,2.4229,8.169,103.5,-11.84,0.66,-0.6755235287,-0.1639226318,8.4928782155,809,2018-07-07 14:53:42:286
-0.0958,2.4229,8.169,103.5,-11.84,0.66,-0.6755235287,-0.1639226318,8.4928782155,833,2018-07-07 14:53:42:310
-0.0958,2.4229,8.169,104.37,-16.52,0.67,0.0001938831,-0.0002287824,8.5212782468,857,2018-07-07 14:53:42:334
-0.0958,2.4229,8.169,104.37,-16.52,0.67,0.0001938831,-0.0002287824,8.5212782468,882,2018-07-07 14:53:42:359
0.6704,2.9975,9.2895,104.37,-16.52,0.67,-0.4206913047,0.6963588764,9.7502490123,906,2018-07-07 14:53:42:383
0.6704,2.9975,9.2895,104.37,-16.52,0.67,-0.4206913047,0.6963588764,9.7502490123,929,2018-07-07 14:53:42:406
0.6704,2.9975,9.2895,104.37,-16.52,0.67,-0.4206913047,0.6963588764,9.7502490123,954,2018-07-07 14:53:42:431
0.6704,2.9975,9.2895,104.37,-16.52,0.67,-0.4206913047,0.6963588764,9.7502490123,977,2018-07-07 14:53:42:454
0.6704,2.9975,9.2895,104.37,-16.52,0.67,-0.4206913047,0.6963588764,9.7502490123,1002,2018-07-07 14:53:42:479
