ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y ,GRAVITY Z ,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z ,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y ,MAGNETIC FIELD Z ,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,OUT,,,,,,,,
1.269,9.3592,2.0495,1.4048,8.9432,3.7705,-0.1358,0.4161,-1.721,0.2426,-0.0407,-0.2278,5133,13.98,-37.5,19.74,189.48,-65.78,-20.43,3.1,993.74,50.227,0,,,,,,,,
0.7614,8.55,3.5866,1.1403,9.3284,2.8019,-0.379,-0.7785,0.7848,0.7032,-0.3009,-0.0696,4622,15.12,-35.1,21.78,188.95,-72.03,-22.15,3.1,993.77,51.591,0,,,,,,,,
2.5547,8.9283,0.9505,1.4322,9.3824,2.4675,0.5311,-0.0807,-0.236,0.267,0.1756,0.1185,4550,14.28,-35.4,22.2,181.74,-73.09,-30.13,3.1,993.73,53.992,0,,,,,,,,
0.1939,7.2427,1.3504,0.5724,9.3426,2.9254,0.0478,-3.1726,-1.8384,-0.3115,-0.0816,-0.2388,4324,7.74,-35.52,24.66,184.87,-72.3,-11.07,3.1,993.78,59.132,0,,,,,,,,
-1.1014,5.9258,0.4334,0.3779,9.5649,2.1309,-0.4713,-3.9359,-1.087,1.1094,0.8622,-0.5999,5243,14.4,-32.22,24.42,196.45,-77.25,-10.06,3.1,993.79,62.767,0,,,,,,,,
-1.5204,6.0647,3.5268,0.5461,9.2037,3.3411,-1.8653,-1.1925,-1.4928,-0.0494,1.1768,0.179,7361,12.84,-36.12,20.22,196.26,-69.8,-9.28,3.1,993.77,65.308,0,,,,,,,,
0.6369,6.0288,4.767,1.0134,8.7126,4.3856,0.4208,0.4527,-2.6425,-0.6028,-0.2801,-0.1368,7660,11.1,-39.06,15.24,192.51,-62.68,-13.01,3.1,993.76,64.309,0,,,,,,,,
-0.1077,5.9594,3.9529,1.5204,8.1257,5.2756,-1.2833,-1.6181,-1.6123,0.0709,0.6765,-0.0458,8560,11.64,-41.04,9.42,195.37,-55.95,-16.08,3.1,993.78,57.563,0,,,,,,,,
0.3304,5.2099,3.7638,1.6248,8.2365,5.0685,-0.6407,-1.8773,-2.3103,0.0056,0.4364,-0.3262,8704,14.58,-40.8,9.24,199.11,-57.13,-17.77,3.1,993.77,53.682,0,,,,,,,,
-0.091,7.8101,5.3488,1.5079,8.2004,5.1624,-1.5989,-0.3902,0.1864,-0.32,0.5183,0.4893,9048,10.86,-41.7,12.18,191.54,-56.74,-16.28,3.1,993.77,56.111,0,,,,,,,,
0.3687,7.9969,1.6832,1.2936,9.1289,3.3406,0.7798,0.6636,-4.3964,0.3354,-0.7737,-0.4484,7798,11.34,-36.66,22.32,183.65,-68.57,-21.17,3.1,993.75,63.27,0,,,,,,,,
0.6967,8.8445,4.2187,0.8154,9.206,3.2794,-1.3039,1.9681,4.897,0.2982,0.3106,0.5437,7125,9.3,-36.54,23.94,184.59,-69.84,-13.96,3.1,993.74,56.786,0,,,,,,,,
0.929,10.4151,1.4222,0.8738,9.7247,0.9151,0.3305,0.9035,-1.8943,1.0721,-1.1976,0.0324,4364,9.12,-31.56,30.66,170.53,-78.91,-27.29,3.1,993.75,58.106,0,,,,,,,,
1.1181,14.7056,4.6425,0.7292,9.7349,0.9332,-1.8139,4.3531,6.0509,0.6794,2.0687,-0.595,3674,4.44,-28.44,33.36,137.61,-82.5,-53.32,3.1,993.73,60.529,0,,,,,,,,
0.6776,13.7503,3.1772,0.7412,9.7258,1.0143,-0.0636,4.0245,2.1629,-0.6297,0.4767,0.1747,3395,-15.96,-27.54,30.66,121.4,-82.64,-36.16,3.1,993.74,63.617,0,,,,,,,,
-0.7734,12.6921,2.6696,0.4446,9.7457,0.9968,-1.218,2.9463,1.6728,0.3788,0.8512,0.0434,3898,-24.78,-26.22,25.62,116.1,-83.61,-24.04,3.1,993.77,58.551,0,,,,,,,,
1.6497,11.9283,1.1229,0.4322,9.6893,1.4493,0.2717,2.646,1.3233,0.0789,-0.0425,0.1393,4508,-34.92,-24,12.48,97.98,-81.13,-16.61,3.1,993.77,56.107,0,,,,,,,,
-0.1939,12.1462,2.6457,-0.0571,9.6868,1.5274,0.4115,2.4929,0.673,0.22,0.4383,-0.2804,5467,-35.88,-24.66,6,107.32,-81.03,2.14,3.1,993.77,53.684,0,,,,,,,,
1.4054,11.2555,2.1405,0.5918,9.6128,1.8479,0.8974,2.7226,0.6517,0.0318,-0.0614,-0.099,8114,-39.48,-19.98,0.84,80.83,-77.23,-17.45,3.1,993.79,55.712,0,,,,,,,,
0.5148,8.5332,1.4773,-0.0925,9.5996,2.0023,0.6072,-1.0664,-0.525,0.1198,-0.0175,0.0721,9118,-37.8,-22.62,-1.32,98.63,-78.16,3.12,3.1,993.78,61.695,0,,,,,,,,
0.9338,7.5084,0.0192,0.2095,9.5161,2.36,0.7243,-2.0077,-2.3408,0.3422,-0.1262,-0.0922,9205,-38.4,-21.06,-1.98,89.82,-76.02,-5.07,3.1,993.78,62.408,0,,,,,,,,
0.1868,6.3903,0.8619,-0.2482,9.5959,2.0069,0.435,-3.2056,-1.145,0.0807,-0.0908,0.2999,6083,-35.64,-23.88,3.42,109.02,-78.1,7.05,3.1,993.82,61.962,0,,,,,,,,
-0.2897,6.2251,0.8093,-0.1333,9.6474,1.7548,-0.9226,-3.4367,0.2348,0.0147,0.6863,-0.0611,6398,-35.4,-23.94,5.1,108.9,-79.66,4.34,3.1,993.83,59.245,0,,,,,,,,
0.012,6.8764,2.2195,0.0592,9.6298,1.8529,1.1428,-1.0416,-1.4458,-0.5253,-0.6821,-0.1888,7249,-31.38,-24.96,14.28,119.1,-79.1,-1.83,3.1,993.82,65.309,0,,,,,,,,
0.0766,9.3425,3.1245,0.0761,9.571,2.1355,-0.1384,-0.3913,0.3019,0.1632,0.4205,-0.0684,31228,-31.14,-26.94,14.58,122.13,-77.49,-1.48,3.1,993.82,68.595,0,,,,,,,,
0.079,8.6314,3.996,-0.4646,9.5915,1.9895,-0.4548,1.3121,3.0098,0.0948,-0.4805,0.0073,33322,-28.92,-28.62,14.88,137.16,-77.98,13.15,3.1,993.83,57.815,0,,,,,,,,
0.34,11.6697,4.2953,-0.387,9.5681,2.1148,1.2322,2.432,1.2204,-0.9022,-0.428,0.2138,18061,-24.6,-31.08,20.46,145.36,-77.34,10.37,3.1,993.83,64.186,0,,,,,,,,
-0.7039,12.4119,1.9561,-0.4627,9.5926,1.9843,0.3717,3.2503,-1.2444,0.3904,-0.9337,-0.3091,27848.998,-23.88,-29.28,20.64,149.32,-78.01,13.13,3.1,993.83,62.595,0,,,,,,,,
-0.3663,12.8525,3.8931,-0.2683,9.5699,2.1249,1.0584,2.2554,0.1185,0.1192,0.189,-0.3745,6860,-17.7,-31.08,25.26,156.06,-77.38,7.2,3.1,993.83,60.707,0,,,,,,,,
-0.8069,10.949,4.846,-0.3694,9.4645,2.5409,-1.2491,1.5012,1.1176,-0.4819,-0.1763,0.2297,5361,-14.46,-32.7,24.6,163.42,-74.82,8.27,3.1,993.8,72.227,0,,,,,,,,
0.1293,7.609,1.5778,0.0594,9.3999,2.7944,-0.2126,-2.4134,-0.2086,-0.284,-0.0535,0.2437,4479,-12.6,-33.42,25.44,157.77,-73.44,-1.22,3.1,993.81,64.424,0,,,,,,,,
0.7063,6.8548,0.4477,-0.1087,9.449,2.6219,0.815,-2.5942,-2.1741,0.2139,0.2361,0.226,5346,-19.14,-32.58,22.02,153.47,-74.4,7.24,3.1,993.84,67.192,0,,,,,,,,
-0.9122,7.1397,1.8029,-0.5255,9.6272,1.7917,-0.6501,-2.6192,0.4732,-0.2693,0.0198,-0.1313,3502,-15.24,-32.04,26.1,168.48,-79.02,16.35,3.1,993.83,55.094,0,,,,,,,,
