ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
1.269,9.3592,2.0495,1.4048,8.9432,3.7705,-0.1358,0.4161,-1.721,0.2426,-0.0407,-0.2278,5133,13.98,-37.5,19.74,189.48,-65.78,-20.43,3.1,993.74,50.227,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,24,2018-06-11 15:39:16:900,0
0.7614,8.55,3.5866,1.1403,9.3284,2.8019,-0.379,-0.7785,0.7848,0.7032,-0.3009,-0.0696,4622,15.12,-35.1,21.78,188.95,-72.03,-22.15,3.1,993.77,51.591,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,524,2018-06-11 15:39:17:400,0
2.5547,8.9283,0.9505,1.4322,9.3824,2.4675,0.5311,-0.0807,-0.236,0.267,0.1756,0.1185,4550,14.28,-35.4,22.2,181.74,-73.09,-30.13,3.1,993.73,53.992,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,1024,2018-06-11 15:39:17:900,0
0.1939,7.2427,1.3504,0.5724,9.3426,2.9254,0.0478,-3.1726,-1.8384,-0.3115,-0.0816,-0.2388,4324,7.74,-35.52,24.66,184.87,-72.3,-11.07,3.1,993.78,59.132,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,1525,2018-06-11 15:39:18:401,0
-1.1014,5.9258,0.4334,0.3779,9.5649,2.1309,-0.4713,-3.9359,-1.087,1.1094,0.8622,-0.5999,5243,14.4,-32.22,24.42,196.45,-77.25,-10.06,3.1,993.79,62.767,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,2024,2018-06-11 15:39:18:900,0
-1.5204,6.0647,3.5268,0.5461,9.2037,3.3411,-1.8653,-1.1925,-1.4928,-0.0494,1.1768,0.179,7361,12.84,-36.12,20.22,196.26,-69.8,-9.28,3.1,993.77,65.308,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,2525,2018-06-11 15:39:19:401,0
0.6369,6.0288,4.767,1.0134,8.7126,4.3856,0.4208,0.4527,-2.6425,-0.6028,-0.2801,-0.1368,7660,11.1,-39.06,15.24,192.51,-62.68,-13.01,3.1,993.76,64.309,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,3024,2018-06-11 15:39:19:900,0
-0.1077,5.9594,3.9529,1.5204,8.1257,5.2756,-1.2833,-1.6181,-1.6123,0.0709,0.6765,-0.0458,8560,11.64,-41.04,9.42,195.37,-55.95,-16.08,3.1,993.78,57.563,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,3525,2018-06-11 15:39:20:401,0
0.3304,5.2099,3.7638,1.6248,8.2365,5.0685,-0.6407,-1.8773,-2.3103,0.0056,0.4364,-0.3262,8704,14.58,-40.8,9.24,199.11,-57.13,-17.77,3.1,993.77,53.682,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,4025,2018-06-11 15:39:20:901,0
-0.091,7.8101,5.3488,1.5079,8.2004,5.1624,-1.5989,-0.3902,0.1864,-0.32,0.5183,0.4893,9048,10.86,-41.7,12.18,191.54,-56.74,-16.28,3.1,993.77,56.111,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,4524,2018-06-11 15:39:21:400,0
0.3687,7.9969,1.6832,1.2936,9.1289,3.3406,0.7798,0.6636,-4.3964,0.3354,-0.7737,-0.4484,7798,11.34,-36.66,22.32,183.65,-68.57,-21.17,3.1,993.75,63.27,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,5024,2018-06-11 15:39:21:900,0
0.6967,8.8445,4.2187,0.8154,9.206,3.2794,-1.3039,1.9681,4.897,0.2982,0.3106,0.5437,7125,9.3,-36.54,23.94,184.59,-69.84,-13.96,3.1,993.74,56.786,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,5524,2018-06-11 15:39:22:400,0
0.929,10.4151,1.4222,0.8738,9.7247,0.9151,0.3305,0.9035,-1.8943,1.0721,-1.1976,0.0324,4364,9.12,-31.56,30.66,170.53,-78.91,-27.29,3.1,993.75,58.106,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,6024,2018-06-11 15:39:22:900,0
1.1181,14.7056,4.6425,0.7292,9.7349,0.9332,-1.8139,4.3531,6.0509,0.6794,2.0687,-0.595,3674,4.44,-28.44,33.36,137.61,-82.5,-53.32,3.1,993.73,60.529,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,6525,2018-06-11 15:39:23:401,0
0.6776,13.7503,3.1772,0.7412,9.7258,1.0143,-0.0636,4.0245,2.1629,-0.6297,0.4767,0.1747,3395,-15.96,-27.54,30.66,121.4,-82.64,-36.16,3.1,993.74,63.617,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,7025,2018-06-11 15:39:23:901,0
-0.7734,12.6921,2.6696,0.4446,9.7457,0.9968,-1.218,2.9463,1.6728,0.3788,0.8512,0.0434,3898,-24.78,-26.22,25.62,116.1,-83.61,-24.04,3.1,993.77,58.551,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 22,7524,2018-06-11 15:39:24:400,0
1.6497,11.9283,1.1229,0.4322,9.6893,1.4493,0.2717,2.646,1.3233,0.0789,-0.0425,0.1393,4508,-34.92,-24,12.48,97.98,-81.13,-16.61,3.1,993.77,56.107,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 22,8024,2018-06-11 15:39:24:900,0
-0.1939,12.1462,2.6457,-0.0571,9.6868,1.5274,0.4115,2.4929,0.673,0.22,0.4383,-0.2804,5467,-35.88,-24.66,6,107.32,-81.03,2.14,3.1,993.77,53.684,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,8525,2018-06-11 15:39:25:401,0
1.4054,11.2555,2.1405,0.5918,9.6128,1.8479,0.8974,2.7226,0.6517,0.0318,-0.0614,-0.099,8114,-39.48,-19.98,0.84,80.83,-77.23,-17.45,3.1,993.79,55.712,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,9024,2018-06-11 15:39:25:900,0
0.5148,8.5332,1.4773,-0.0925,9.5996,2.0023,0.6072,-1.0664,-0.525,0.1198,-0.0175,0.0721,9118,-37.8,-22.62,-1.32,98.63,-78.16,3.12,3.1,993.78,61.695,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,9525,2018-06-11 15:39:26:401,0
0.9338,7.5084,0.0192,0.2095,9.5161,2.36,0.7243,-2.0077,-2.3408,0.3422,-0.1262,-0.0922,9205,-38.4,-21.06,-1.98,89.82,-76.02,-5.07,3.1,993.78,62.408,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,10024,2018-06-11 15:39:26:900,0
0.1868,6.3903,0.8619,-0.2482,9.5959,2.0069,0.435,-3.2056,-1.145,0.0807,-0.0908,0.2999,6083,-35.64,-23.88,3.42,109.02,-78.1,7.05,3.1,993.82,61.962,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,10524,2018-06-11 15:39:27:400,0
-0.2897,6.2251,0.8093,-0.1333,9.6474,1.7548,-0.9226,-3.4367,0.2348,0.0147,0.6863,-0.0611,6398,-35.4,-23.94,5.1,108.9,-79.66,4.34,3.1,993.83,59.245,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,11024,2018-06-11 15:39:27:900,0
0.012,6.8764,2.2195,0.0592,9.6298,1.8529,1.1428,-1.0416,-1.4458,-0.5253,-0.6821,-0.1888,7249,-31.38,-24.96,14.28,119.1,-79.1,-1.83,3.1,993.82,65.309,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,11524,2018-06-11 15:39:28:400,0
