Row,DOWN0,DOWN1,DOWN2,DOWN3
0,-0.012843276,-0.025297845,0.011854961,-0.026621818
1,-0.014901933,0.114216872,-0.023020141,0.022609898
2,-0.011482888,-0.060622642,-0.237618555,-0.137555105
3,0.085892428,-0.140838281,-0.012035254,0.539189269
4,-0.084308751,-0.510011813,0.028538716,-0.003368656
5,-0.150821201,-0.410739525,0.044285226,0.046530845
6,-0.177362155,-0.421046028,3.35E-05,0.230652842
7,-0.275860906,0.322926246,-0.017387235,0.230652842
8,0.01270436,-0.672973683,-0.054347004,0.613625323
9,-0.036371219,0.321572289,0.086261661,0.194606871
10,0.54989702,0.019950295,0.042998421,0.427742547
11,-0.132324793,0.896013376,0.017471717,0.266739462
12,-0.150569897,0.070221122,0.045903303,-0.35745658
13,-0.016506596,0.853031735,0.003291435,0.323324989
14,-0.148056131,0.535638568,0.009506843,-0.328043078
15,0.10311243,-0.250064098,-0.018107523,0.001158436
16,0.064218174,0.061977607,0.023328478,-0.168102906
17,-0.140455034,-0.209332626,0.018709681,-0.029247341
18,0.008717382,0.314702355,-0.039298781,-0.154088932
19,0.054209938,-0.633573079,0.069555553,-0.011120019
20,-0.03527185,1.375323843,-0.379085236,-0.026923389
21,0.010167801,-0.000466839,-0.045617046,0.000695747
22,-0.015783845,0.151904383,-0.089688265,-0.016089687
23,0.140621604,0.151904383,-0.107826176,-0.061487764
24,0.043534132,0.58293347,-0.083274685,-0.012213768
25,0.247133032,0.618054766,-0.022920357,-0.184837573
26,-0.019936299,0.149933593,-0.046466298,-0.17594271
27,0.254035284,0.149933593,-0.046997705,0.016731675
28,-0.021150969,0.603503819,-0.051567118,0.136700747
29,0.120352759,0.603503819,0.018913446,0.16472568
30,0.029164996,0.151125501,-0.000166943,-0.161371894
31,-0.015488634,0.669179157,-0.121371477,0.001591518
32,0.372070588,0.78824922,-0.024921276,0.062760363
33,-0.022000469,0.998076572,0.017032094,0.00183714
34,-0.132324793,0.868576311,-0.01493894,-0.151381061
35,-0.035393836,0.920547815,0.064427615,0.031181767
36,-0.015988021,0.920547815,0.182389422,0.119276662
37,0.66501218,0.753942208,-0.207315862,-0.172208147
38,-0.154187217,0.6611416,-0.016558576,0.045620171
39,0.113422749,0.254211151,-0.030770358,0.280777964
40,0.002898811,0.254211151,0.294822728,-0.157320412
41,0.218817265,0.427693627,0.163962746,-0.138891138
42,-0.392409156,0.40715991,-0.071046293,0.756292201
43,-0.132324793,0.329618267,-0.182898179,-0.231215178
44,-0.016499051,0.271571032,-0.110946388,0.080352858
45,-0.008578096,-0.09510025,0.378241882,-0.298360697
46,-0.081358768,-0.023554114,-0.140107994,-0.708306347
47,0.110135099,0.377957359,0.160432338,-0.3220659
48,-0.169599536,0.087608373,-0.160842311,0.049977562
49,0.762916932,0.419477729,0.04654884,0.056732212
50,0.078710645,-0.341839758,0.046310017,-0.299318162
51,0.091765531,0.356053956,-0.007339408,0.144246151
52,0.016467331,0.1690645,-0.078095052,-0.208029639
53,0.396481497,-0.250412908,-0.00513491,-0.183755972
54,0.207101613,-0.169566068,0.058709666,-0.041868281
55,0.008834078,-0.169566068,-0.006583619,-0.086428087
56,-0.006239183,0.11594028,0.04359259,-0.265194825
57,0.230195611,0.407896617,0.043865688,0.043588954
58,0.157186396,-0.30204581,0.057921952,0.009658048
59,0.153677322,0.405585836,0.142735373,0.037548474
60,-0.751256826,0.186143247,-0.09298028,0.226996435
61,-0.093806,0.091951058,0.272390654,0.07091315
62,-0.132324793,-0.225058833,0.002238345,0.099937616
63,-0.125043131,0.057497399,-0.148756247,0.3798687
64,0.173988182,0.092836701,0.105755842,0.071589091
65,-0.045350134,-0.084753649,-0.004008492,0.45968728
66,-0.130726021,-0.130664475,-0.032609728,-0.092572585
67,0.06712095,-0.099211372,-0.019471283,0.296410757
68,-0.00271093,0.173585009,0.082085343,-0.075678651
69,-0.139807163,0.048214193,-0.156066586,-0.23746874
70,-0.0935793,0.601774718,-0.15590127,-0.0807133
71,0.318776831,0.26810527,-0.00303012,0.168950973
72,-0.053630514,0.354401988,-0.058386212,-0.43268129
73,-0.001782463,0.354401988,0.1370042,0.227738896
74,0.258229416,0.533388066,-0.153128356,-0.348197511
75,0.013862009,0.059539403,-0.10838208,-0.121271567
76,0.127760096,0.251736402,0.05528501,-0.013429059
77,-0.025448268,0.435659873,-0.127412697,-0.065808716
78,-0.132324793,0.435659873,0.018438422,0.002362742
79,-0.00895804,0.429901208,0.02361079,-0.170122291
80,0.546378985,0.429901208,-0.067397149,-8.72E-05
81,0.08013385,0.429901208,0.154585481,-0.318516519
82,-0.010599464,-0.022655482,-0.011868154,0.090055888
83,0.196314658,-0.174021949,0.109464383,-0.118659682
84,-0.337982947,0.175624243,-0.0445213,-0.261163615
85,0.026542204,0.240942715,0.002958865,0.029711236
86,-0.015683654,0.350890274,-0.011690539,-0.204516161
87,-0.541834487,0.477140556,-0.097896655,0.062664182
88,0.142505489,0.515133484,-0.073329506,-0.01580552
89,0.000671302,0.515133484,0.013376126,0.379659584
90,0.294559943,0.163785472,-0.0054318,-0.005741741
91,-0.132324793,0.244761832,-0.078462521,-0.044763359
92,-0.431486107,0.211797175,0.049205901,0.041583798
93,-0.122350914,-0.00798682,-0.050922538,0.170413409
94,0.087783074,0.145661894,0.130233205,-0.151353553
95,-0.057703848,0.334386234,0.019600247,0.168498087
96,0.027252429,0.179841906,-0.014754082,0.023251789
97,-0.153590718,0.296344475,-0.072430658,0.164425598
98,0.008772999,-0.074461813,-0.027579677,0.0190737
99,-0.150831576,0.238353882,0.010312611,0.05108862
100,-0.33188192,0.025282097,0.104870421,-0.007844814
101,-0.038262791,0.058314038,-0.060356998,-0.228656967
102,0.001722866,-0.00515793,0.049924954,0.219215081
103,-0.008973035,0.004248729,-0.010283111,0.168953185
104,-0.149296521,-0.446172624,0.035854723,0.168953185
105,-0.062114721,-0.294048925,0.026902285,0.168953185
106,0.342831739,0.023161104,0.035203138,-0.574157004
107,0.163913898,0.32851531,0.188473025,0.39482712
108,-0.19752867,0.667715989,0.074873887,-0.300981516
109,0.276489263,0.676674684,-0.11885912,0.024177541
110,-0.012946238,0.662329321,0.073556964,0.639855469
111,-0.03791589,0.376066043,-0.045284356,0.147992956
112,0.208213439,0.20151356,0.058139689,0.154729925
113,-0.143982868,0.20151356,0.015187248,0.243638934
