sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.764;7.52;0.857;1.016;9.615;1.637;-0.466;-1.913;-1.022;0.029;-0.231;-0.533;8.0;29.4;-26.5;-20.0;262.3;-78.3;-33.8;3.0;1001.2;61.65;23.02592;72.54061;-2.0;157.10551631491586;;4.1;9.67742;295.1;18 / 21;7;2018-08-23 20:57:11:934
-0.273;7.456;1.178;0.694;9.645;1.632;-0.941;-2.208;-0.317;-0.054;0.364;-0.095;8.0;29.9;-25.0;-20.6;272.6;-79.6;-25.9;3.0;1001.2;61.65;23.02592;72.54061;-2.0;157.10551631491586;;4.1;9.67742;295.1;18 / 21;107;2018-08-23 20:57:12:034
1.432;8.521;0.517;0.84;9.625;1.683;0.642;-1.154;-1.068;-0.143;-0.578;0.185;12.0;30.2;-25.2;-20.2;271.7;-79.4;-24.5;3.0;1001.2;61.65;23.02592;72.54061;-2.0;157.10551631491586;;4.1;9.67742;295.1;18 / 21;206;2018-08-23 20:57:12:133
1.767;11.835;0.836;0.855;9.668;1.403;1.527;1.575;-1.185;0.232;0.16;-0.531;12.0;29.0;-25.2;-21.7;269.3;-79.8;-30.8;3.0;1001.2;66.81;23.02592;72.54061;-2.0;157.10551631491586;;4.1;9.67742;295.1;18 / 21;306;2018-08-23 20:57:12:233
0.453;14.488;0.979;0.521;9.734;1.075;-0.154;4.816;-0.198;0.058;-0.158;0.078;17.0;30.1;-24.3;-21.8;275.8;-83.0;-25.9;3.0;1001.2;66.81;23.02592;72.54061;-2.0;157.10551631491586;;4.1;9.67742;295.1;18 / 21;406;2018-08-23 20:57:12:333
0.22;10.623;1.772;0.743;9.715;1.116;-0.438;0.844;0.395;0.011;-0.511;0.337;17.0;29.2;-25.4;-21.2;266.8;-82.1;-33.6;3.0;1001.2;66.81;23.02592;72.54059;-2.0;157.10551631491586;;4.2;9.67742;289.9;19 / 22;506;2018-08-23 20:57:12:433
1.063;6.299;2.617;0.943;9.64;1.535;0.276;-3.139;0.795;-0.189;0.126;-0.229;16.0;28.4;-25.7;-23.0;268.4;-79.8;-33.6;3.0;1001.2;65.87;23.02592;72.54059;-2.0;157.10551631491586;;4.2;9.67742;289.9;19 / 22;606;2018-08-23 20:57:12:533
0.546;6.589;-0.273;0.697;9.708;1.201;-0.311;-3.011;-1.347;0.364;-0.453;0.019;16.0;28.1;-24.9;-23.3;274.4;-80.9;-28.0;3.0;1001.2;65.87;23.02592;72.54059;-2.0;157.10551631491586;;4.2;9.67742;289.9;19 / 22;706;2018-08-23 20:57:12:633
0.263;9.694;-0.678;0.752;9.719;1.066;-0.539;-0.897;-1.95;-0.021;-0.125;0.061;22.0;27.6;-24.9;-23.6;269.5;-82.3;-34.6;3.0;1001.2;65.87;23.02592;72.54059;-2.0;157.10551631491586;;4.2;9.67742;289.9;19 / 22;806;2018-08-23 20:57:12:733
0.362;13.655;2.852;0.801;9.716;1.063;-0.425;3.984;1.906;-0.118;-0.585;0.099;23.0;26.1;-25.0;-25.0;271.4;-82.2;-37.0;3.0;1001.2;64.73;23.02592;72.54059;-2.0;157.10551631491586;;4.2;9.67742;289.9;19 / 22;906;2018-08-23 20:57:12:833
