ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
-0.129,8.085,4.803,-0.581,8.425,4.985,0.564,-0.392,-0.146,0.273,-0.015,0.046,20,-4,-2.1,-40.3,14.8,-59.1,6.7,0,999.7,53.88,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,25,2018-08-24 19:42:24:339,4.5
0.227,8.22,4.729,-0.491,8.518,4.835,0.685,-0.255,-0.142,0.112,0.061,0.047,20,-4,-2.9,-41.4,14,-59.9,6.3,0,999.7,53.88,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,125,2018-08-24 19:42:24:439,4.5
-0.314,8.619,4.681,-0.46,8.553,4.775,0.166,0.011,-0.072,0.068,0.074,0.055,20,-4,-3.3,-41.2,13.6,-60.6,5.7,0,999.7,53.88,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,225,2018-08-24 19:42:24:539,4.5
-0.551,8.849,4.264,-0.377,8.588,4.72,-0.095,0.202,-0.559,0.017,-0.086,0.158,17,-3.1,-3.4,-40.4,11,-60.9,5.1,0,999.7,47.28,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,325,2018-08-24 19:42:24:639,4.5
-1.008,8.49,5.109,-0.257,8.565,4.769,-0.772,-0.121,0.391,0.23,-0.05,0.207,17,-4.1,-3,-41.1,10.3,-60.9,3.1,0,999.7,47.28,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,425,2018-08-24 19:42:24:739,4.5
-0.029,8.971,2.828,-0.205,8.689,4.542,0.014,0.352,-1.609,0.025,0.509,0.062,16,-3.8,-4.4,-40,9.5,-62.2,2.2,0,999.7,47.28,23.03461,72.50908,40.3,167.3228349,,0.6,9.67742,,20 / 23,525,2018-08-24 19:42:24:839,4.5
-0.642,8.73,4.693,-0.338,8.588,4.723,-0.476,0.036,0.202,-0.219,-0.12,-0.02,12,-2.4,-4.7,-41.3,8.2,-61.4,3.9,0,999.7,45.94,23.03461,72.50908,40.3,167.3228349,,0.5,9.67742,,20 / 23,625,2018-08-24 19:42:24:939,4.5
-1.312,8.481,5.267,-0.404,8.512,4.853,-0.554,-0.141,0.232,0.036,0.4,-0.04,12,-2.2,-3.1,-40.7,10.2,-60.3,4.3,0,999.7,45.94,23.03461,72.50908,40.3,167.3228349,,0.5,9.67742,,20 / 23,726,2018-08-24 19:42:25:040,4.5
-0.505,8.684,5.471,-0.506,8.534,4.805,0.24,-0.128,0.257,0.085,-0.16,-0.133,12,-1.3,-2.7,-41,8.8,-60.5,6,0,999.7,45.94,23.03461,72.50908,40.3,167.3228349,,0.5,9.67742,,20 / 23,825,2018-08-24 19:42:25:139,4.5
-0.857,8.83,4.142,-0.554,8.684,4.522,-0.257,0.325,-0.547,0.137,0.378,0.187,12,-0.8,-4.3,-40.9,9.7,-61.6,6.6,0,999.7,50.39,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,926,2018-08-24 19:42:25:240,4.5
-0.563,8.662,3.757,-0.475,8.731,4.44,-0.361,-0.001,-0.456,0.089,0.004,0.251,11,0.4,-5,-41,8.2,-62.6,6.8,0,999.7,50.39,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1025,2018-08-24 19:42:25:339,4.5
-0.831,9.077,3.357,-0.43,8.846,4.211,-0.4,0.23,-0.854,0.282,0.547,0.319,11,0.7,-6.2,-41.9,5.1,-63.9,5.7,0,999.7,50.39,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1125,2018-08-24 19:42:25:439,4.5
-0.678,8.859,4.159,-0.337,8.832,4.249,-0.34,0.027,-0.09,-0.103,-0.23,0.027,12,1.7,-6.7,-39.2,1.9,-64.2,4.5,0,999.7,50.39,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1226,2018-08-24 19:42:25:540,4.5
-0.5,9.041,3.754,-0.253,8.857,4.201,-0.209,0.059,-0.37,0.129,0.155,0.063,12,1.4,-6,-40.3,2.4,-64.5,3.4,0,999.7,55.19,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1325,2018-08-24 19:42:25:639,4.5
0.302,9.084,3.781,-0.211,8.925,4.058,0.536,0.161,-0.297,0.062,0.01,0.013,12,2.2,-6.1,-39.3,358.7,-65.4,3.2,0,999.7,55.19,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1425,2018-08-24 19:42:25:739,4.5
0.206,9.115,4.393,-0.22,8.995,3.901,0.409,0.094,0.55,0.284,0.067,0.027,12,2.5,-7.2,-40.1,358.8,-66.2,3.2,0,999.7,55.19,23.03461,72.50908,40.3,167.3226095,,0.5,9.67742,,20 / 23,1526,2018-08-24 19:42:25:840,4.5
0.096,9.357,3.821,-0.29,9.101,3.641,0.367,0.301,0.563,0.477,0.333,-0.069,12,3,-8.3,-39.4,359.7,-67.7,4.1,0,999.7,57.83,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,1625,2018-08-24 19:42:25:939,4.5
-0.053,9.517,3.005,-0.497,9.216,3.314,0.426,0.291,-0.309,0.132,0.473,0.022,13,4.1,-11,-39.2,3.1,-69.4,7,0,999.7,57.83,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,1725,2018-08-24 19:42:26:039,4.5
-0.254,9.146,3.721,-0.509,9.167,3.445,0.203,0.008,0.302,-0.114,-0.252,0.005,13,5.9,-9.9,-38.6,0,-69.3,8.7,0,999.7,57.83,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,1825,2018-08-24 19:42:26:139,4.5
-0.022,8.931,3.366,-0.382,9.19,3.4,0.384,-0.298,0.201,0.372,0.12,0.171,14,5.4,-10.1,-39.3,359.6,-69.1,6.9,0,999.7,55.02,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,1926,2018-08-24 19:42:26:240,4.5
-0.565,9.852,2.133,-0.342,9.332,2.994,-0.242,0.456,-0.852,0.198,0.124,0.191,14,6.5,-11.3,-38.3,358.5,-71.4,6.2,0,999.7,55.02,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2026,2018-08-24 19:42:26:340,4.5
0.017,9.838,2.988,-0.178,9.327,3.024,0.291,0.396,-0.07,0.018,-0.072,0.091,13,6.4,-12.2,-38.7,355.2,-72.2,4.6,0,999.7,55.02,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2125,2018-08-24 19:42:26:439,4.5
1.111,9.687,1.741,0.063,9.465,2.565,1.048,0.222,-0.825,0.734,-0.09,0.148,13,5.9,-13.4,-38.3,348.2,-74.8,-1.4,0,999.7,58.68,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2225,2018-08-24 19:42:26:539,4.5
0.706,10.252,-0.134,0.11,9.637,1.815,0.597,0.616,-1.949,0.601,0.357,0.011,14,5.8,-16.2,-36.9,347.9,-77.9,-3.1,0,999.7,58.68,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2325,2018-08-24 19:42:26:639,4.5
0.457,8.974,1.906,0.108,9.673,1.613,0.145,-0.502,0.372,0.061,0.056,0.046,11,6.9,-17.8,-37.2,344.2,-80.4,-3.6,0,999.7,58.68,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2425,2018-08-24 19:42:26:739,4.5
0.919,8.981,1.755,0.31,9.654,1.697,0.664,-0.692,-0.076,-0.452,-0.098,0.129,11,7.3,-18.7,-36.8,341.1,-80.7,-6.1,0,999.7,58.68,23.03462,72.50908,40.3,167.3226095,,0.6,9.67742,,20 / 23,2525,2018-08-24 19:42:26:839,4.5
