ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
0.864,9.493,2.612,0.605,9.116,3.565,0.257,0.377,-0.876,-0.123,0.134,-0.007,56,1,-34.7,18.3,176,-68.4,-9.8,3,1000,41.35,,,,NaN,,,,,0 / 0,36,2018-08-27 12:44:16:910,0.19
1.034,9.577,2.895,0.568,9.14,3.509,0.873,0.193,-0.691,0.104,0.079,-0.182,56,0.7,-35.2,18.6,176.2,-68.5,-9.2,3,1000,41.35,,,,NaN,,,,,0 / 0,136,2018-08-27 12:44:17:010,0.19
0.383,9.869,2.957,0.538,9.21,3.325,-0.104,0.53,-0.201,0.123,-0.003,-0.296,56,2.5,-34.2,19.3,177.6,-69.6,-9.8,3,1000,41.35,,,,NaN,,,,,0 / 0,235,2018-08-27 12:44:17:109,0.19
0.39,9.369,4.856,0.409,9.222,3.31,0.173,0.14,1.34,0.077,0.021,-0.162,55,3.3,-35.1,19.3,180.9,-70.4,-7.6,3,1000,49.04,,,,NaN,,,,,0 / 0,335,2018-08-27 12:44:17:209,0.19
-0.237,8.892,4.578,0.263,9.23,3.304,-0.404,-0.378,1.379,0.223,0.093,-0.04,55,3.6,-34.9,19.4,184.4,-70.5,-5.2,3,1000,49.04,,,,NaN,,,,,0 / 0,435,2018-08-27 12:44:17:309,0.19
0.275,8.706,3.764,0.29,9.19,3.411,0.217,-0.443,-0.303,-0.154,0.188,0.127,51,3.9,-33.7,19.2,184.8,-69.7,-4.5,3,1000,49.04,,,,NaN,,,,,0 / 0,536,2018-08-27 12:44:17:410,0.19
0.658,9.146,3.374,0.37,9.148,3.514,0.131,0.104,0.173,-0.03,-0.094,0.067,51,4,-34,19.1,184.7,-69.1,-5,3,1000,49.76,,,,NaN,,,,,0 / 0,635,2018-08-27 12:44:17:509,0.19
-0.232,9.287,2.425,0.354,9.158,3.491,-0.612,0.163,-0.802,0.053,-0.025,0.065,47,2.9,-33.9,20.3,181.8,-68.8,-5.7,3,1000,49.76,,,,NaN,,,,,0 / 0,735,2018-08-27 12:44:17:609,0.19
0.151,8.962,3.589,0.304,9.189,3.411,-0.108,-0.287,0.458,0.186,0.062,-0.048,47,1.9,-34.5,21.5,180.3,-69.2,-5.3,3,1000,49.76,,,,NaN,,,,,0 / 0,835,2018-08-27 12:44:17:709,0.19
0.139,9.28,3.283,0.219,9.262,3.214,-0.03,0.003,-0.02,0.181,-0.109,-0.076,48,1.9,-33.6,20.9,181,-70.6,-4,3,1000,64.17,,,,NaN,,,,,0 / 0,936,2018-08-27 12:44:17:810,0.19
-0.069,9,3.594,0.226,9.315,3.057,-0.336,-0.138,0.13,0.142,0.088,0.049,48,2.8,-33.1,19.9,183.1,-71.5,-3.9,3,1000,64.17,,,,NaN,,,,,0 / 0,1035,2018-08-27 12:44:17:909,0.19
1.25,8.418,3.409,0.316,9.364,2.895,0.093,-0.237,-0.191,-0.209,0.162,0.368,45,2,-32.5,23,179.8,-72.7,-5.2,3,1000,64.17,,,,NaN,,,,,0 / 0,1135,2018-08-27 12:44:18:009,0.19
0.438,8.684,4.034,0.434,9.284,3.128,-0.285,-0.624,1.088,0.005,-0.544,0.064,44,1.9,-33.1,21.1,178.5,-71.7,-7.5,3,1000,64.17,,,,NaN,,,,,0 / 0,1235,2018-08-27 12:44:18:109,0.19
-0.697,10.168,4.398,0.415,9.094,3.647,-1.112,1.075,0.751,-1.566,0.722,0.181,44,1.3,-33.3,20.9,178.4,-69.5,-7.8,3,1000,56.8,,,,NaN,,,,,0 / 0,1336,2018-08-27 12:44:18:210,0.19
-0.024,8.073,5.612,0.447,8.694,4.516,-0.468,-0.804,1.357,0.159,0.465,0.345,43,-0.4,-35.7,18.1,178.4,-64.6,-5.8,3,1000,56.8,,,,NaN,,,,,0 / 0,1436,2018-08-27 12:44:18:310,0.19
-0.716,9.23,4.908,0.293,8.845,4.226,-0.918,0.294,0.256,0.207,0.865,-0.03,43,-2.5,-35.5,17.9,173.4,-64.1,-5.3,3,1000,56.8,,,,NaN,,,,,0 / 0,1536,2018-08-27 12:44:18:410,0.19
0.093,9.536,4.477,0.165,8.874,4.171,-0.273,0.847,-0.111,-0.221,1.145,0.754,55,-4,-34.9,17.7,171.5,-65,-2.1,3,1000,52.04,,,,NaN,,,,,0 / 0,1635,2018-08-27 12:44:18:509,0.19
1.106,8.243,4.305,0.359,8.78,4.353,0.596,-0.35,0.121,0.05,1.379,0.972,55,-8.4,-35.5,17.4,163,-63.7,-4.2,3,1000,52.04,,,,NaN,,,,,0 / 0,1735,2018-08-27 12:44:18:609,0.19
1.506,7.485,4.681,0.625,8.721,4.442,0.905,-1.109,0.339,-0.092,2.011,1.003,44,-14.9,-33.2,16.4,151,-63.5,-6.9,3,1000,52.04,,,,NaN,,,,,0 / 0,1835,2018-08-27 12:44:18:709,0.19
-1.171,7.961,5.05,0.379,8.61,4.68,-1.569,-0.62,0.394,-0.25,2.247,1.264,44,-20.3,-32.6,11.3,138.6,-61.8,-5,3,1000,56.09,,,,NaN,,,,,0 / 0,1936,2018-08-27 12:44:18:810,0.19
