ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
5.4045,2.1185,8.4929,8.3346,1.4612,4.9567,-2.6521,0.7053,3.8971,0.6863,2.1553,1.7216,-41.79,27.37,10.35,43.83,-8.57,-59.26,6.118099879,2.321662539,7.937553139,2.5
7.4981,2.9433,8.4065,7.6366,0.8542,6.0929,0.431,2.4718,2.5228,0.3353,0.7896,0.5009,-36.22,34.06,-1.97,31.76,-5.91,-54.1,8.348017449,3.055724887,7.518438058,2.5
7.9044,2.64,7.3243,7.4016,0.8387,6.3784,0.9609,1.6242,0.8111,-0.1472,-0.2112,-0.0509,-32.54,35.12,-5.84,25.11,-4.99,-49.44,8.669158907,2.733409662,6.36149867,2.5
5.3991,4.7209,5.8976,7.5325,1.1814,6.1673,-2.1865,3.4214,0.4224,-1.009,-0.2437,-1.0496,-36.6,33.31,-4.09,27.43,-6.06,-50.28,6.001443317,4.828829558,5.184973152,2.5
1.4623,5.7323,5.9203,7.6269,1.2298,6.0405,-5.4055,4.7511,0.2536,-1.1741,-0.1702,-0.4392,-38.85,34.06,-0.28,33.51,-7.43,-51.5,2.077182813,5.854035437,5.609199348,2.5
0.2692,4.287,6.7649,7.4079,0.8924,6.3638,-6.7607,3.6433,0.5347,-0.3587,-0.1457,-0.0233,-39.6,36.25,1.41,34.81,-5.42,-49.26,1.017370088,4.390727327,6.625796653,2.5
8.4273,5.5351,13.2532,7.0277,0.8693,6.7842,-4.937,6.3355,8.971,0.9447,-1.1992,1.3611,-40.29,39.94,-5.84,40.08,-4.47,-45.73,9.933896081,5.719023348,12.07950778,2.5
0.4447,7.768,11.5037,6.5633,0.8369,7.2383,-5.8325,6.9676,4.5809,0.7838,2.224,0.5445,-34.04,42.5,-13.9,19.28,-4.11,-47.14,1.890581403,7.93303865,11.2413209,2.5
-1.1707,4.1013,6.6154,5.8019,0.7755,7.8681,-7.2062,3.3642,-0.9518,1.4059,0.6314,2.5233,-20.04,37,-28.78,358.39,-4.54,-36.4,-0.254076166,4.191787416,6.657257761,2.5
-0.6557,4.0074,6.752,5.6646,0.6741,7.9767,-5.9153,3.3392,-0.5171,1.0997,0.7539,2.2138,-18.16,36.62,-28.78,358.39,-4.54,-36.4,0.287622217,4.086861844,6.730047175,2.5
-0.6557,4.0074,6.752,5.6646,0.6741,7.9767,-5.9153,3.3392,-0.5171,1.0997,0.7539,2.2138,-18.16,36.62,-28.78,358.39,-4.54,-36.4,0.287622217,4.086861844,6.730047175,2.5
-0.223,3.8427,7.6156,1.9129,-0.6181,9.5984,4.7983,0.8503,0.4441,0.1271,1.5955,1.5821,-16.72,35.87,-24.53,19.03,3.61,-11.27,1.049956765,3.761070764,7.587184797,2.5
5.3634,3.7619,14.9695,1.3817,-1.1535,9.6401,4.0311,4.8707,5.622,-1.7457,-0.4147,-0.2906,6.53,26.69,-24.53,329.44,3.44,-8.37,7.79443908,3.48212234,13.93289004,2.5
8.015,2.6817,6.6394,2.2022,-0.9325,9.5106,6.7974,4.5041,-2.7652,-0.3235,-0.5819,-1.0811,5.4,26.69,-25.4,338.02,5.71,-11.54,9.001863129,2.596329832,5.266773572,2.5
2.9152,2.276,6.3353,2.9006,-0.6054,9.3483,0.4959,2.5531,-1.7995,0.8408,-1.8421,-1.4896,1.34,25.94,-24.97,342.2,4.59,-15.66,3.90556277,2.214826341,5.801354743,2.5
2.4844,5.0322,9.4476,5.3712,0.1914,8.2027,-2.3094,4.8995,1.6635,-0.6969,-2.6155,-1.5615,-10.41,23,-26.22,351.13,-0.58,-28.53,3.806925688,5.062225172,8.979622435,2.5
0.2308,3.7864,9.9465,6.2927,0.0689,7.5212,-5.9225,3.8249,2.4767,-2.2687,-1.6578,-2.3322,-17.47,25.19,-23.65,349.67,-0.9,-38.52,1.530742364,3.798219013,9.82615469,2.5
