sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9481;11.8421;3.7111;-0.1641;9.4085;2.7611;-0.6811;2.8071;0.9644;0.402;0.3228;0.2804;1986.0;7.74;-33.6;26.7;192.89;-71.88;0.58;3.1;993.61;42.675;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;21;2018-06-11 15:42:22:993
0.1676;10.7407;3.783;0.1555;9.3616;2.9166;0.0121;1.3791;0.8664;0.2829;0.1683;0.1051;1804.0;1.02;-34.62;27.66;179.24;-72.67;-3.05;3.1;993.6;43.451;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;521;2018-06-11 15:42:23:493
0.9793;10.1781;2.7319;0.2776;9.3721;2.8735;0.4144;-0.0823;-1.2598;0.0942;-0.1317;0.1753;1731.0;3.06;-34.92;27.48;180.62;-72.88;-5.52;3.1;993.6;43.952;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;1021;2018-06-11 15:42:23:993
1.5156;7.5156;1.0343;0.3727;9.455;2.5757;0.652;-3.3257;-2.5278;-0.1111;-0.0205;-0.0024;1690.0;2.64;-34.68;28.2;178.36;-74.61;-8.23;3.1;993.6;45.302;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;1465;2018-06-11 15:42:24:437
-0.0886;6.3975;0.9002;0.3048;9.6079;1.9404;-0.6735;-2.6286;-1.4807;0.1626;-0.1408;0.1185;1642.0;9.36;-32.34;29.22;186.98;-78.45;-8.93;3.1;993.59;51.754;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;1965;2018-06-11 15:42:24:937
0.6081;6.7973;-0.2251;0.5033;9.599;1.9435;-0.441;-2.3228;-1.5747;-0.0744;-0.2386;0.0843;1858.0;11.1;-31.8;28.86;185.26;-78.19;-14.52;3.1;993.6;55.166;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;19 / 20;2465;2018-06-11 15:42:25:437
-1.3384;7.9394;0.6225;0.0709;9.6653;1.6572;-1.4117;-1.1968;0.0404;0.2133;-0.1683;0.0568;1953.0;18.3;-30.9;27.54;206.56;-80.26;-2.45;3.1;993.61;56.64;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;19 / 20;2965;2018-06-11 15:42:25:937
-0.0982;8.1429;1.5539;0.5069;9.7602;0.8069;-0.605;-1.6173;0.747;-1.0476;0.0662;0.5437;2131.0;19.38;-27.48;29.52;180.2;-84.42;-32.13;3.1;993.59;55.243;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;3465;2018-06-11 15:42:26:437
1.9394;8.7678;2.6409;0.6807;9.7487;0.8179;2.2067;-0.7343;-0.4205;-0.9064;-0.2404;0.0153;2698.0;22.44;-28.56;25.14;181.45;-83.77;-39.77;3.1;993.59;53.818;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 19;3965;2018-06-11 15:42:26:937
0.079;10.6282;3.3161;0.5402;9.6904;1.4053;-0.5522;1.8979;3.3139;0.0783;0.0559;-0.1533;3145.0;25.8;-29.16;22.32;205.74;-81.17;-21.03;3.1;993.61;51.94;23.024933;72.53823;30.17;NaN;;3.6;9.677419;189.3;18 / 20;4468;2018-06-11 15:42:27:440
