ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6704,1.6664,9.2512,-59.22,-12.54,-22.26,99.26,-8.32,11.43,18,2018-07-07 14:53:41:495
-0.6704,1.6664,9.2512,-59.22,-12.54,-22.26,99.26,-8.32,11.43,41,2018-07-07 14:53:41:518
-0.6704,1.6664,9.2512,-57.84,-14.64,-21.6,101.07,-10.18,4.14,65,2018-07-07 14:53:41:542
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,89,2018-07-07 14:53:41:566
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,114,2018-07-07 14:53:41:591
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,138,2018-07-07 14:53:41:615
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,162,2018-07-07 14:53:41:639
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,186,2018-07-07 14:53:41:663
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,210,2018-07-07 14:53:41:687
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,234,2018-07-07 14:53:41:711
-0.6704,2.9975,8.9735,-55.86,-15.84,-20.52,99.76,-18.42,4.27,257,2018-07-07 14:53:41:734
-0.6704,2.9975,8.9735,-55.86,-15.84,-20.52,99.76,-18.42,4.27,282,2018-07-07 14:53:41:759
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,305,2018-07-07 14:53:41:782
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,329,2018-07-07 14:53:41:806
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,353,2018-07-07 14:53:41:830
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,377,2018-07-07 14:53:41:854
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,401,2018-07-07 14:53:41:878
-0.1437,3.2178,9.7971,-55.86,-15.84,-20.52,99.76,-18.42,4.27,426,2018-07-07 14:53:41:903
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,449,2018-07-07 14:53:41:926
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,474,2018-07-07 14:53:41:951
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,498,2018-07-07 14:53:41:975
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,522,2018-07-07 14:53:41:999
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,546,2018-07-07 14:53:42:023
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,569,2018-07-07 14:53:42:046
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,593,2018-07-07 14:53:42:070
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,618,2018-07-07 14:53:42:095
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,642,2018-07-07 14:53:42:119
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,665,2018-07-07 14:53:42:142
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,689,2018-07-07 14:53:42:166
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,713,2018-07-07 14:53:42:190
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,737,2018-07-07 14:53:42:214
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,762,2018-07-07 14:53:42:239
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,786,2018-07-07 14:53:42:263
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,809,2018-07-07 14:53:42:286
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,833,2018-07-07 14:53:42:310
-0.0958,2.4229,8.169,-55.44,-18.78,-15.3,104.37,-16.52,0.67,857,2018-07-07 14:53:42:334
-0.0958,2.4229,8.169,-55.44,-18.78,-15.3,104.37,-16.52,0.67,882,2018-07-07 14:53:42:359
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,906,2018-07-07 14:53:42:383
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,929,2018-07-07 14:53:42:406
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,954,2018-07-07 14:53:42:431
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,977,2018-07-07 14:53:42:454
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,1002,2018-07-07 14:53:42:479
0.4788,3.4955,8.9639,-55.44,-18.78,-15.3,104.37,-16.52,0.67,1025,2018-07-07 14:53:42:502
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1050,2018-07-07 14:53:42:527
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1073,2018-07-07 14:53:42:550
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1097,2018-07-07 14:53:42:574
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1121,2018-07-07 14:53:42:598
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1145,2018-07-07 14:53:42:622
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1170,2018-07-07 14:53:42:647
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1193,2018-07-07 14:53:42:670
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1218,2018-07-07 14:53:42:695
-0.3543,3.2178,10.7643,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1241,2018-07-07 14:53:42:718
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1266,2018-07-07 14:53:42:743
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1289,2018-07-07 14:53:42:766
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1314,2018-07-07 14:53:42:791
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1337,2018-07-07 14:53:42:814
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1361,2018-07-07 14:53:42:838
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1385,2018-07-07 14:53:42:862
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1409,2018-07-07 14:53:42:886
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1434,2018-07-07 14:53:42:911
-1.0151,2.2889,7.1826,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1457,2018-07-07 14:53:42:934
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1482,2018-07-07 14:53:42:959
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1505,2018-07-07 14:53:42:982
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1529,2018-07-07 14:53:43:006
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1553,2018-07-07 14:53:43:030
