,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
0,0.35200000000000004,9.51,2.4730000000000003,0.149,9.446,2.6310000000000002,0.141,0.146,0.0,0.039,-0.19899999999999998,-0.023,50.0,7.4,-30.6,19.1,192.5,-74.3,-3.0,3.0,1019.2,44.53,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,19,2019-01-03 10:18:10:967,0.19
1,0.9309999999999999,9.45,2.0380000000000003,0.248,9.482000000000001,2.49,0.642,0.129,-0.833,-0.133,0.021,0.10099999999999999,49.0,7.7,-31.1,19.4,192.1,-74.5,-3.6,3.0,1019.2,44.53,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,120,2019-01-03 10:18:11:068,0.19
2,0.541,9.572000000000001,2.485,0.387,9.469,2.521,0.138,0.10800000000000001,-0.028999999999999998,-0.05,-0.135,0.079,49.0,7.6,-31.0,19.5,189.8,-74.9,-8.7,3.0,1019.2,44.53,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,219,2019-01-03 10:18:11:167,0.19
3,0.196,9.722999999999999,1.9469999999999998,0.419,9.486,2.452,-0.115,-0.026000000000000002,-0.537,0.028999999999999998,0.034,-0.045,50.0,7.0,-31.8,19.3,187.1,-75.1,-9.8,3.0,1019.2,47.56,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,319,2019-01-03 10:18:11:267,0.19
4,0.426,9.603,2.03,0.41600000000000004,9.514,2.339,0.19399999999999998,-0.067,-0.07,-0.036000000000000004,0.053,0.034,50.0,7.7,-31.4,19.4,189.7,-75.8,-9.9,3.0,1019.2,47.56,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,419,2019-01-03 10:18:11:367,0.19
5,0.503,9.738,1.781,0.41100000000000003,9.538,2.241,0.099,0.20199999999999999,-0.46,0.011000000000000001,0.063,0.008,49.0,7.2,-32.0,18.2,188.8,-76.1,-10.1,3.0,1019.2,47.56,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,521,2019-01-03 10:18:11:469,0.19
6,0.536,9.9,2.339,0.44799999999999995,9.562000000000001,2.131,0.172,0.315,-0.091,0.085,0.151,-0.05,49.0,6.7,-31.4,18.6,186.3,-77.2,-11.9,3.0,1019.2,47.56,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,620,2019-01-03 10:18:11:568,0.19
7,0.254,10.113,3.7689999999999997,0.418,9.576,2.072,-0.092,0.5489999999999999,1.7630000000000001,0.018000000000000002,0.175,-0.066,49.0,7.2,-31.1,18.5,188.5,-77.6,-11.8,3.0,1019.2,49.24,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,719,2019-01-03 10:18:11:667,0.19
8,0.366,9.702,2.449,0.452,9.583,2.035,0.049,-0.106,0.79,-0.038,0.174,0.23600000000000002,49.0,6.8,-31.3,19.7,185.3,-77.7,-12.5,3.0,1019.2,49.24,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,819,2019-01-03 10:18:11:767,0.19
9,-0.040999999999999995,8.993,2.911,0.536,9.579,2.031,-0.631,-0.562,0.823,0.177,0.252,0.193,48.0,5.8,-30.1,20.4,181.9,-77.6,-14.3,3.0,1019.2,49.24,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,919,2019-01-03 10:18:11:867,0.19
10,-0.223,9.541,3.1010000000000004,0.595,9.499,2.363,-0.444,0.09,0.8290000000000001,-0.297,0.10800000000000001,0.142,44.0,4.4,-31.4,20.3,177.5,-76.2,-14.7,3.0,1019.2,48.6,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1019,2019-01-03 10:18:11:967,0.19
11,0.043,9.773,2.722,0.485,9.457,2.548,-0.624,0.555,-0.33299999999999996,0.22,0.034,-0.207,44.0,4.9,-32.0,18.8,179.3,-74.5,-12.3,3.0,1019.2,48.6,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1119,2019-01-03 10:18:12:067,0.19
12,0.713,8.937999999999999,2.708,0.478,9.466000000000001,2.5180000000000002,0.18899999999999997,-0.46,0.09300000000000001,0.004,-0.005,0.055,42.0,3.8,-31.7,19.3,180.8,-74.8,-10.8,3.0,1019.2,48.6,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1219,2019-01-03 10:18:12:167,0.19
13,0.67,9.06,3.498,0.49200000000000005,9.439,2.614,0.156,-0.37799999999999995,0.836,-0.105,-0.006999999999999999,-0.002,42.0,3.7,-31.6,19.2,180.3,-74.7,-10.9,3.0,1019.2,55.58,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1320,2019-01-03 10:18:12:268,0.19
14,0.405,9.529,2.488,0.465,9.426,2.665,-0.073,0.10800000000000001,0.024,-0.092,-0.157,-0.054000000000000006,44.0,4.4,-31.3,18.5,181.8,-74.0,-9.9,3.0,1019.2,55.58,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1420,2019-01-03 10:18:12:368,0.19
15,0.158,9.613,2.7319999999999998,0.516,9.392999999999999,2.772,-0.418,0.247,-0.018000000000000002,-0.11800000000000001,-0.299,-0.021,44.0,5.9,-31.5,17.8,183.7,-73.5,-10.3,3.0,1019.2,55.58,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1520,2019-01-03 10:18:12:468,0.19
16,-0.019,9.644,3.488,0.552,9.357000000000001,2.8819999999999997,-0.674,0.335,0.731,-0.099,-0.066,-0.10300000000000001,45.0,6.5,-32.6,17.6,185.2,-72.6,-10.8,3.0,1019.2,58.91,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1620,2019-01-03 10:18:12:568,0.19
17,0.41700000000000004,9.541,3.8310000000000004,0.66,9.306000000000001,3.0239999999999996,-0.396,0.195,0.688,-0.22899999999999998,-0.302,-0.023,45.0,6.2,-32.9,17.5,184.7,-72.1,-12.4,3.0,1019.2,58.91,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1719,2019-01-03 10:18:12:667,0.19
18,2.653,6.896,5.595,0.8370000000000001,9.175,3.359,1.4709999999999999,-2.127,1.901,-0.28800000000000003,-0.449,-0.026000000000000002,46.0,6.4,-33.5,15.8,184.0,-69.3,-14.0,3.0,1019.2,58.91,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1819,2019-01-03 10:18:12:767,0.19
19,0.555,10.056000000000001,3.532,0.8490000000000001,9.152999999999999,3.4160000000000004,-0.162,0.752,0.585,-0.098,-0.114,0.069,49.0,7.6,-33.0,15.9,188.7,-68.9,-13.7,3.0,1019.2,52.13,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,1919,2019-01-03 10:18:12:867,0.19
20,0.6609999999999999,9.575,3.7539999999999996,0.897,9.125,3.478,-0.026000000000000002,0.226,0.359,-0.063,-0.048,0.081,49.0,7.7,-33.2,15.2,188.3,-68.5,-14.5,3.0,1019.2,52.13,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,2019,2019-01-03 10:18:12:967,0.19
21,0.735,9.369,2.95,0.782,9.189,3.335,-0.228,0.39899999999999997,-0.47,0.237,0.201,-0.07400000000000001,47.0,8.8,-32.8,15.3,188.8,-69.1,-13.8,3.0,1019.2,52.13,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,2119,2019-01-03 10:18:13:067,0.19
22,0.9390000000000001,9.107999999999999,2.861,0.8240000000000001,9.207,3.273,0.16,-0.138,-0.466,0.099,0.124,0.17300000000000001,47.0,8.0,-32.8,15.3,189.3,-69.8,-13.1,3.0,1019.2,52.13,23.02454,72.53761999999999,,,,,127.74193000000001,,0 / 0,2219,2019-01-03 10:18:13:167,0.19
