ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.20953,3.46577,9.12888,0.43856,3.77953,9.03843,-0.66639,-0.26178,0.33775,-0.01506,-0.10622,0.17537,3973,0.018,-35.876,5.521,179.531,-22.669,-2.778,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,9,2019-01-17 16:05:28:138
0.39197,3.37549,9.1665,0.53144,3.65648,9.08395,-0.1573,-0.20942,0.09024,-0.14555,0.10204,0.17216,4002,-1.855,-36.252,5.521,176.2,-22.23,-3.48,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,109,2019-01-17 16:05:28:238
-0.02031,3.38072,9.59187,0.45133,3.53014,9.1381,-0.46887,-0.12775,0.50985,-0.06938,0.14572,0.08162,4026,1.144,-35.876,4.332,181.31,-21.099,-2.828,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,209,2019-01-17 16:05:28:338
0.19147,3.41928,8.71718,0.45656,3.58042,9.11825,-0.27618,-0.12234,-0.26854,0.01263,0.04558,0.03316,4171,-1.106,-35.501,5.145,177.984,-21.283,-2.811,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,309,2019-01-17 16:05:28:438
-0.25304,3.27634,8.86005,0.39144,3.55662,9.13059,-0.40729,-0.19373,-0.06255,0.00145,0.00723,-0.02757,4187,-1.482,-35.876,5.583,177.985,-21.265,-2.455,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,409,2019-01-17 16:05:28:538
0.08282,3.21175,8.7802,0.31944,3.49266,9.15804,-0.17243,-0.23172,-0.25972,-0.12691,0.08926,0.05553,4249,-1.106,-36.252,5.145,178.086,-21,-2.103,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,509,2019-01-17 16:05:28:638
-0.26549,3.05496,10.2989,0.12119,3.24382,9.25383,-0.32522,-0.10772,1.23355,-0.06087,0.18886,0.1727,4249,-3.294,-36.252,3.458,175.242,-19.752,-1.332,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,609,2019-01-17 16:05:28:738
-0.22557,2.66531,10.85468,0.04939,3.20674,9.2674,-0.0283,-0.5238,0.95058,-0.08003,0.42801,0.145,4366,-2.168,-37.314,4.332,176.81,-19.087,-0.305,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,709,2019-01-17 16:05:28:838
0.10522,2.91913,9.52675,-0.04126,3.14138,9.2898,-0.25721,-0.05651,0.40573,-0.22278,0.13133,0.11731,4629,-1.855,-37.001,4.77,176.895,-19.058,0.16,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,809,2019-01-17 16:05:28:938
-0.22411,2.92717,8.94588,-0.1261,3.06802,9.31353,-0.09847,-0.12955,-0.33337,0.1394,-0.03004,-0.0787,4689,-2.168,-37.001,4.332,176.941,-18.231,0.776,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,910,2019-01-17 16:05:29:039
0.38095,3.20752,8.95927,-0.14643,3.02717,9.32658,0.38177,0.20515,-0.30202,-0.10667,0.01682,-0.11652,4777,-2.168,-36.626,2.646,176.906,-17.98,0.899,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1009,2019-01-17 16:05:29:138
0.13541,3.35811,8.56558,-0.16139,2.99984,9.33516,0.28758,0.37259,-0.65128,-0.13223,-0.00714,-0.25607,4829,-1.855,-35.876,3.02,178.619,-17.808,1.016,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1109,2019-01-17 16:05:29:238
0.06026,3.10909,9.27751,-0.14034,2.93017,9.35761,0.27607,0.193,-0.08335,0.06165,-0.09024,-0.26779,4878,0.394,-36.252,4.77,180.12,-17.385,0.859,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1209,2019-01-17 16:05:29:338
-0.43059,2.72411,9.50871,-0.14793,2.96981,9.34498,-0.27255,-0.26777,0.28119,0.12556,-0.1158,-0.11226,4850,-0.356,-36.626,3.458,180.075,-17.628,0.907,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1309,2019-01-17 16:05:29:438
-0.90694,3.0538,9.22945,-0.13332,2.96214,9.34764,-0.60569,0.09452,-0.01847,-0.02783,-0.04123,-0.00839,4850,1.144,-37.689,2.646,181.609,-17.581,0.817,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1410,2019-01-17 16:05:29:539
-0.13861,2.77489,10.03915,-0.03013,2.89653,9.36908,-0.10861,-0.10943,0.70958,0.09148,0.05464,0.12531,4786,0.769,-35.876,4.332,181.656,-17.253,0.408,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1509,2019-01-17 16:05:29:638
-0.12936,2.87338,9.68687,-0.05863,2.85835,9.38066,-0.17608,0.0787,0.31443,-0.12531,0.07861,0.31384,4787,-1.106,-37.314,3.082,178.45,-16.946,0.358,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1610,2019-01-17 16:05:29:739
0.07813,2.80481,9.54958,-0.02942,2.90175,9.36746,0.16344,-0.13181,0.13583,0.1165,0.20537,0.33728,4848,-1.482,-36.252,2.208,178.408,-16.946,0.358,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1710,2019-01-17 16:05:29:839
-0.32571,2.58933,9.38199,-0.16369,2.86698,9.37678,-0.42913,-0.4383,0.21149,-0.0305,0.06104,0.24887,4916,-3.294,-35.876,-4.543,174.653,-16.999,1,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1809,2019-01-17 16:05:29:938
-0.40863,2.41632,9.7265,-0.30743,2.76263,9.40445,-0.22129,-0.32142,0.63737,0.13089,0.25703,0.23289,5080,-1.855,-36.252,1.77,173.298,-16.821,1.214,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,1909,2019-01-17 16:05:30:038
-0.9223,2.16801,9.60925,-0.44852,2.56693,9.4541,-0.87959,-0.55194,0.71135,-0.50134,0.26822,0.06937,5333,-2.168,-37.689,0.52,176.979,-15.174,2.716,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,2009,2019-01-17 16:05:30:138
-0.97122,2.50777,9.77472,-0.52312,2.33812,9.50947,-0.45012,0.17867,0.30195,-0.1301,0.32042,0.11359,5620,-3.294,-36.252,1.833,175.337,-14.386,2.846,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,2110,2019-01-17 16:05:30:239
0.0607,1.35783,11.29082,-0.72465,2.09381,9.55307,0.83655,-0.36751,0.48202,-0.4662,0.23892,0.23662,5620,-3.668,-37.376,-1.105,173.693,-13.021,3.845,1.97,65.3901,15.549856,73.76347,-225.806,NaN,0,14.680643,,15 / 36,2209,2019-01-17 16:05:30:338
-0.39093,2.15358,9.81833,-0.54598,2.19868,9.54139,-0.25095,0.11085,-0.5035,-0.0582,0.17607,0.14873,5868.9995,-4.044,-36.626,-0.293,173.687,-12.949,3.048,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2309,2019-01-17 16:05:30:438
-0.41934,2.40259,8.93776,-0.52944,2.2112,9.53943,0.07042,0.19848,-0.61657,-0.14182,0.2352,0.15405,6174,-4.044,-36.626,0.52,173.683,-13.128,3.071,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2409,2019-01-17 16:05:30:538
-0.71712,2.63243,8.68134,-0.4072,2.23763,9.53927,0.00787,0.18355,-0.17183,0.21132,-0.44498,-0.15646,5948,-4.419,-36.252,0.145,173.502,-13.19,2.444,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2509,2019-01-17 16:05:30:638
-0.44826,2.29346,10.50562,-0.38018,2.20411,9.54818,-0.18465,0.15052,0.85251,0.19481,-0.15096,-0.04195,5956.9995,-4.044,-37.001,-1.543,173.475,-12.989,2.28,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2611,2019-01-17 16:05:30:740
-0.60754,2.72948,9.08731,-0.26472,2.46042,9.48929,0.16317,0.26324,-0.73369,0.23476,-0.12486,-0.0313,5840.9995,-5.168,-37.314,1.395,173.759,-13.53,1.983,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2710,2019-01-17 16:05:30:839
-0.35091,2.55727,9.1996,-0.2292,2.57289,9.46034,-0.15353,-0.23587,-0.09666,0.02489,-0.11047,-0.13303,5702,-3.294,-37.376,0.958,175.281,-15.134,1.553,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2809,2019-01-17 16:05:30:938
-0.70802,2.38403,10.16748,-0.21521,2.55827,9.46464,-0.54199,-0.13041,-0.0952,0.03554,-0.22499,-0.18204,5544.9995,-2.919,-35.876,0.958,173.262,-15.126,1.446,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,2911,2019-01-17 16:05:31:040
-0.12875,1.94672,9.72963,-0.2117,2.47589,9.4866,-0.17909,-0.48698,0.16951,-0.17857,0.23787,0.07043,5508,-1.482,-37.001,0.082,178.398,-14.957,1.103,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,3009,2019-01-17 16:05:31:138
0.04221,2.13322,9.82857,-0.21979,2.37014,9.51339,0.32111,-0.14846,0.0818,-0.17857,0.20432,-0.01585,5512,-2.544,-36.252,-0.293,175.081,-14.624,1.278,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,3109,2019-01-17 16:05:31:238
0.2473,2.28574,9.95883,-0.31182,2.07298,9.57998,0.55825,0.21855,0.40565,-0.24942,0.40617,-0.02118,5630,-2.544,-35.501,-1.605,174.967,-12.204,1.864,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.224,14.680643,198.5,15 / 36,3209,2019-01-17 16:05:31:338
-0.19113,1.82829,10.92726,-0.25827,2.07079,9.58204,-0.11224,-0.18373,1.14263,0.26936,-0.11154,-0.15327,5836.9995,-2.168,-37.001,-1.981,176.711,-11.995,1.653,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3309,2019-01-17 16:05:31:438
-0.25174,2.65158,9.032,-0.2803,2.15146,9.56363,0.02787,0.50542,-0.50808,-0.04701,-0.18239,-0.10373,5864,-1.855,-36.626,-1.543,176.699,-12.673,1.679,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3409,2019-01-17 16:05:31:538
0.33885,2.27286,9.45441,-0.17862,2.19543,9.55608,0.6893,0.22806,-0.48917,0.02756,-0.08598,0.00546,5843.0005,-2.168,-36.252,-1.167,175.096,-12.568,1.844,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3509,2019-01-17 16:05:31:638
-0.4817,1.61945,9.53551,-0.02938,2.37329,9.51509,-0.77038,-0.63346,0.20812,0.18628,-0.20688,0.13222,5784,-1.482,-37.689,-0.293,174.993,-13.183,0.934,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3609,2019-01-17 16:05:31:738
-1.20711,1.95055,10.72466,0.08921,2.41096,9.50525,-1.31156,-0.3983,1.6281,0.16338,-0.0945,0.28296,5578,-3.668,-36.626,-0.293,173.635,-14.243,-0.287,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3709,2019-01-17 16:05:31:838
-0.86832,2.82951,8.49365,0.14139,2.6578,9.43857,-1.37097,0.09995,0.7512,0.34979,0.20432,0.60893,5476.9995,-5.856,-36.626,-6.606,173.623,-15.168,-1.076,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3809,2019-01-17 16:05:31:938
-0.52211,2.15421,10.77792,0.06561,2.56102,9.46611,-0.58757,-0.40124,1.33241,0.02596,0.0882,0.25259,5476.9995,-6.606,-36.252,0.52,168.931,-15.153,-0.451,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,3909,2019-01-17 16:05:32:038
0.84427,2.08963,10.4053,-0.08479,2.39254,9.50994,0.92895,-0.29957,0.90861,0.15645,0.0589,0.18123,5467.0005,-6.232,-36.626,0.145,171.531,-14.927,-0.176,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,4009,2019-01-17 16:05:32:138
0.01692,2.53479,8.61179,-0.15945,2.50337,9.48041,0.19915,0.07533,-0.85492,-0.1104,0.24319,-0.07817,5648.9995,-6.232,-36.626,-2.792,170.203,-14.79,0.964,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,4109,2019-01-17 16:05:32:238
-0.42047,1.73161,10.81667,-0.33462,2.26217,9.5363,0.21846,-0.50068,1.33738,-0.06992,-0.13605,-0.10959,5916,-7.356,-36.252,-2.417,168.754,-13.597,2.136,1.97,65.3901,15.549856,73.76347,-222.581,NaN,1.08,14.680643,198.4,15 / 36,4209,2019-01-17 16:05:32:338
-0.72633,2.50555,9.86327,-0.2888,2.28319,9.53279,-0.45821,0.31423,0.17093,-0.08589,-0.01674,-0.01639,6103.0005,-7.356,-37.001,-2.792,168.655,-13.73,1.527,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.548,14.680643,198.5,15 / 36,4309,2019-01-17 16:05:32:438
-0.55347,2.20554,8.83374,-0.36016,2.15723,9.55966,0.1199,-0.03508,0.09784,-0.29095,0.20218,-0.11865,6172.9995,-7.732,-36.626,-1.543,168.897,-13.447,1.643,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.548,14.680643,198.5,15 / 36,4409,2019-01-17 16:05:32:538
-0.61603,2.45236,9.45229,-0.41007,2.09216,9.5721,-0.22664,0.41346,-0.19664,-0.05873,0.01682,-0.11865,6223.0005,-8.105,-36.626,-1.981,167.278,-12.448,2.367,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.548,14.680643,198.5,15 / 36,4509,2019-01-17 16:05:32:638
-0.41988,2.13443,10.30272,-0.38612,2.06283,9.57946,-0.0245,0.04929,0.70076,0.1703,-0.15256,-0.18736,6382,-6.606,-35.876,-2.417,168.521,-11.958,2.499,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.548,14.680643,198.5,15 / 36,4609,2019-01-17 16:05:32:738
-0.7462,2.39027,9.30885,-0.32735,2.1486,9.56278,-0.2275,0.28105,-0.43134,0.05792,-0.09929,-0.23157,6371.0005,-5.168,-36.626,-2.417,171.926,-12.457,2.099,1.97,65.3901,15.549856,73.76347,-225.806,NaN,1.548,14.680643,198.5,15 / 36,4709,2019-01-17 16:05:32:838
