ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
0.8640000000000001,9.493,2.612,0.605,9.116,3.565,0.257,0.377,-0.8759999999999999,-0.12300000000000001,0.134,-0.006999999999999999,1.0,-34.7,18.3,176.0,-68.4,-9.8,1.024744515634835,9.777616243034668,1.0169603146735549,0.19
1.034,9.577,2.895,0.568,9.14,3.509,0.873,0.193,-0.691,0.10400000000000001,0.079,-0.182,0.7,-35.2,18.6,176.2,-68.5,-9.2,1.2092509446096917,9.904350488432767,1.2691192045045012,0.19
0.38299999999999995,9.869,2.957,0.5379999999999999,9.21,3.325,-0.10400000000000001,0.53,-0.201,0.12300000000000001,-0.003,-0.29600000000000004,2.5,-34.2,19.3,177.6,-69.6,-9.8,0.5538602390836105,10.21069835036105,1.3124698219374058,0.19
0.39,9.369,4.856,0.409,9.222000000000001,3.31,0.17300000000000001,0.14,1.34,0.077,0.021,-0.162,3.3,-35.1,19.3,180.9,-70.4,-7.6,0.6697265409371687,10.021220625083085,3.2615334650703343,0.19
-0.237,8.892000000000001,4.578,0.263,9.23,3.304,-0.40399999999999997,-0.37799999999999995,1.379,0.223,0.09300000000000001,-0.04,3.6,-34.9,19.4,184.4,-70.5,-5.2,0.02724124527598501,9.51214282272241,3.0984373214067737,0.19
0.275,8.706,3.764,0.29,9.19,3.411,0.217,-0.44299999999999995,-0.303,-0.154,0.188,0.127,3.9,-33.7,19.2,184.8,-69.7,-4.5,0.4984634620981203,9.19171745304197,2.302525014065378,0.19
0.6579999999999999,9.146,3.3739999999999997,0.37,9.148,3.514,0.131,0.10400000000000001,0.17300000000000001,-0.03,-0.094,0.067,4.0,-34.0,19.1,184.7,-69.1,-5.0,0.8635636020886268,9.55866746917772,1.8309260276787105,0.19
-0.23199999999999998,9.287,2.425,0.354,9.158,3.491,-0.612,0.163,-0.802,0.053,-0.025,0.065,2.9,-33.9,20.3,181.8,-68.8,-5.7,-0.08390693263476354,9.556109756000511,0.9254966007110386,0.19
0.151,8.962,3.589,0.304,9.189,3.411,-0.10800000000000001,-0.287,0.45799999999999996,0.18600000000000003,0.062,-0.048,1.9,-34.5,21.5,180.3,-69.2,-5.3,0.36427097967780586,9.417673621037183,2.0966392682063715,0.19
0.139,9.28,3.283,0.21899999999999997,9.262,3.214,-0.03,0.003,-0.02,0.18100000000000002,-0.109,-0.076,1.9,-33.6,20.9,181.0,-70.6,-4.0,0.32284437760942497,9.685324849163612,1.733800471224938,0.19
-0.069,9.0,3.594,0.226,9.315,3.057,-0.336,-0.138,0.13,0.142,0.08800000000000001,0.049,2.8,-33.1,19.9,183.1,-71.5,-3.9,0.1227641505303906,9.46282095960586,2.08843133710175,0.19
1.25,8.418,3.409,0.316,9.363999999999999,2.895,0.09300000000000001,-0.237,-0.191,-0.209,0.162,0.368,2.0,-32.5,23.0,179.8,-72.7,-5.2,1.4205790045944346,8.849511850757851,1.9273298355501616,0.19
0.43799999999999994,8.684,4.034,0.434,9.283999999999999,3.128,-0.285,-0.624,1.088,0.005,-0.544,0.064,1.9,-33.1,21.1,178.5,-71.7,-7.5,0.657469932611089,9.216219472384983,2.5506642124247163,0.19
-0.6970000000000001,10.168,4.398,0.415,9.094,3.647,-1.112,1.075,0.7509999999999999,-1.5659999999999998,0.722,0.18100000000000002,1.3,-33.3,20.9,178.4,-69.5,-7.8,-0.41583518121614377,10.7409162845574,2.7706020050149043,0.19
-0.024,8.073,5.612,0.447,8.693999999999999,4.516,-0.46799999999999997,-0.804,1.357,0.159,0.465,0.345,-0.4,-35.7,18.1,178.4,-64.6,-5.8,0.41794946283767187,8.826186065436632,4.311868131657777,0.19
-0.716,9.23,4.908,0.293,8.845,4.226,-0.9179999999999999,0.294,0.256,0.207,0.865,-0.03,-2.5,-35.5,17.9,173.4,-64.1,-5.3,-0.35237890689483603,9.880961012723908,3.469359965614077,0.19
0.09300000000000001,9.536,4.477,0.165,8.874,4.171,-0.273,0.847,-0.111,-0.221,1.145,0.754,-4.0,-34.9,17.7,171.5,-65.0,-2.1,0.4183812597734641,10.109612518425102,2.933967595044777,0.19
1.1059999999999999,8.243,4.305,0.359,8.78,4.353,0.596,-0.35,0.121,0.05,1.379,0.972,-8.4,-35.5,17.4,163.0,-63.7,-4.2,1.4295640152172386,8.788816129807724,2.9010976824001498,0.19
1.506,7.485,4.681,0.625,8.721,4.442,0.905,-1.109,0.33899999999999997,-0.092,2.011,1.003,-14.9,-33.2,16.4,151.0,-63.5,-6.9,1.8640194112578121,8.088392119208576,3.3627914833332566,0.19
-1.171,7.961,5.05,0.379,8.61,4.68,-1.569,-0.62,0.39399999999999996,-0.25,2.247,1.264,-20.3,-32.6,11.3,138.6,-61.8,-5.0,-0.7550630337697741,8.639089707106393,3.8790811860030407,0.19
-0.9309999999999999,8.126,6.417000000000001,0.024,8.361,5.124,-0.955,-0.235,1.2930000000000001,-0.39399999999999996,1.881,1.025,-26.0,-30.5,4.7,128.5,-59.7,-2.1,-0.35416727757781863,8.981088763267495,5.224091898675164,0.19
-0.903,7.997000000000001,6.7589999999999995,-0.324,8.148,5.4479999999999995,-0.579,-0.151,1.311,0.11800000000000001,1.801,0.879,-28.8,-28.0,-0.4,120.0,-56.2,2.7,-0.25720552588040246,8.882053458314084,5.611993467664355,0.19
-0.35700000000000004,8.179,5.44,-0.439,8.226,5.32,0.083,-0.047,0.11900000000000001,0.083,1.2670000000000001,0.9670000000000001,-30.2,-25.0,-5.6,111.1,-56.7,4.9,0.14892479700290528,8.874577660234744,4.223361547073621,0.19
-0.46399999999999997,8.603,5.16,-0.37200000000000005,8.372,5.093,0.03,0.324,-0.063,0.14800000000000002,1.008,0.826,-30.7,-23.4,-10.1,104.0,-57.6,4.6,-0.0041012415525378265,9.265648157281241,3.873015931452964,0.19
-0.086,8.521,4.224,-0.154,8.481,4.921,0.065,-0.024,-0.753,0.276,0.89,0.638,-31.2,-20.5,-12.8,90.8,-59.5,2.2,0.2766607356558445,9.049574849209245,2.913016801514517,0.19
0.63,9.038,3.795,-0.042,8.594,4.724,0.852,0.47100000000000003,-0.7709999999999999,0.157,0.669,0.336,-32.0,-19.4,-15.1,88.2,-60.7,1.1,0.9404009208024825,9.493935890173047,2.3377759562109377,0.19
1.324,8.504,4.743,-0.034,8.734,4.459,0.966,-0.5529999999999999,0.217,0.435,0.56,0.267,-31.9,-18.4,-16.5,81.6,-61.9,0.8,1.6887405401120874,9.107789155139491,3.2807580059653016,0.19
0.441,8.921,6.002000000000001,0.08199999999999999,8.857999999999999,4.207,0.359,0.063,1.796,0.009000000000000001,1.0959999999999999,0.34299999999999997,-31.2,-18.2,-18.9,72.0,-64.6,-1.0,0.8801188918328994,9.731352345529471,4.508757951298438,0.19
0.6920000000000001,8.399,3.56,0.174,8.861,4.198,0.446,-0.33,-0.583,-0.1,0.5870000000000001,0.35,-30.5,-16.9,-21.7,64.9,-64.8,-2.1,0.950747544707446,8.837858091704529,2.1642570219651613,0.19
-0.256,9.498,4.1419999999999995,0.161,8.857999999999999,4.205,-0.384,0.379,-0.09,-0.015,0.818,0.457,-29.6,-16.0,-23.7,63.1,-64.4,-2.6,0.048402359812757756,10.02370175388001,2.6375678874348094,0.19
0.764,8.442,5.105,0.327,8.802,4.311,0.447,-0.37,0.8290000000000001,-0.039,0.708,0.47100000000000003,-29.9,-14.5,-25.4,57.9,-63.9,-4.0,1.1455823167919648,9.112749835617134,3.682053311525168,0.19
0.797,9.199,3.596,0.342,8.837,4.237,0.47200000000000003,0.268,-0.62,0.159,0.7709999999999999,0.244,-27.8,-12.9,-25.7,52.6,-64.2,-4.7,1.0605023511216087,9.631678299355956,2.072229210531761,0.19
0.34,9.649,4.075,0.17,8.911,4.092,0.14400000000000002,0.738,-0.026000000000000002,0.174,0.935,0.2,-26.9,-13.4,-27.9,51.6,-65.0,-3.3,0.6299179423722467,10.158388593329462,2.496952256810559,0.19
-0.096,9.342,3.895,-0.057999999999999996,8.988,3.9219999999999997,-0.11900000000000001,0.33299999999999996,0.54,0.309,0.782,0.14300000000000002,-24.5,-13.3,-30.6,47.8,-65.9,-0.7,0.17063658450181424,9.835397777279532,2.3851705848249996,0.19
-0.006999999999999999,8.236,4.705,-0.095,9.039,3.803,0.095,-0.7929999999999999,1.182,0.035,0.446,0.223,-22.0,-13.1,-32.6,42.7,-67.1,1.6,0.30508006014518463,8.871354930730082,3.3428667113591097,0.19
0.16,8.603,4.295,-0.073,8.991,3.9160000000000004,0.068,-0.47,0.547,0.042,0.038,0.061,-19.7,-13.9,-34.5,41.3,-66.7,1.3,0.4529488394421408,9.165239147397148,2.877057997306763,0.19
0.35,9.292,4.006,0.003,9.043,3.795,0.282,0.391,0.10800000000000001,-0.08199999999999999,-0.318,0.191,-20.2,-13.5,-35.1,37.4,-67.1,1.0,0.614377072730411,9.801130786187226,2.46417859023168,0.19
0.127,9.302,4.121,0.215,8.988999999999999,3.9139999999999997,-0.254,0.174,1.473,-0.42700000000000005,-0.5489999999999999,-0.184,-21.8,-12.7,-35.6,34.7,-67.0,-2.6,0.4079995319940751,9.828785051880228,2.5989410893339677,0.19
0.8,9.704,4.7,0.342,9.057,3.745,0.28600000000000003,0.858,0.615,-0.017,-1.5619999999999998,-0.289,-24.8,-13.5,-31.6,40.2,-67.4,-4.8,1.1052772634715526,10.313067344324578,3.0523138964200305,0.19
1.235,9.479,3.991,0.653,9.125,3.534,0.899,-0.012,0.297,0.7759999999999999,-1.339,-0.804,-30.0,-15.1,-27.1,44.9,-67.4,-9.4,1.4786601899912917,9.978692482537452,2.3545715919218555,0.19
0.747,10.232999999999999,3.3569999999999998,0.8059999999999999,9.222999999999999,3.233,0.28600000000000003,0.201,0.22,-0.35700000000000004,-2.9539999999999997,-0.877,-32.8,-18.3,-22.2,50.9,-70.2,-11.9,0.9351344299662109,10.63115075074516,1.626623592851891,0.19
1.8630000000000002,7.59,4.444,1.173,9.163,3.2910000000000004,0.738,-1.9369999999999998,1.8259999999999998,-0.039,-2.5610000000000004,-0.742,-37.1,-20.2,-10.4,68.0,-69.3,-18.6,2.115045361772267,8.182627366598664,3.065811066754801,0.19
2.4330000000000003,8.205,4.14,1.436,9.091000000000001,3.385,1.001,-0.853,0.647,-0.14300000000000002,-2.266,-0.772,-36.2,-23.2,-1.8,77.0,-68.5,-21.4,2.6732017312743346,8.732227044893994,2.6425967040647365,0.19
1.8869999999999998,8.586,4.271,1.525,9.072000000000001,3.397,0.36200000000000004,-0.484,0.92,-0.107,-1.993,-0.772,-34.0,-26.2,5.3,90.6,-67.6,-23.6,2.136758803640527,9.133216459300836,2.7459469992374173,0.19
1.0270000000000001,8.947000000000001,4.02,1.412,9.102,3.366,-0.397,-0.25,0.613,-0.075,-1.416,-0.741,-30.0,-28.2,11.1,104.5,-67.9,-23.4,1.2612586284532068,9.459640102595158,2.487644227281267,0.19
