PRT(X),PRT(Y),PRT(Z),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.54E+00,7.56E-01,9.20E+00,5.4045,2.1185,8.4929,8.3346,1.4612,4.9567,-2.6521,0.7053,3.8971,0.6863,2.1553,1.7216,254,-41.79,27.37,10.35,43.83,-8.57,-59.26,2,63.751,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1003,2018-09-02 17:22:42:844
-2.41E+00,1.79E+00,1.12E+01,7.4981,2.9433,8.4065,7.6366,0.8542,6.0929,0.431,2.4718,2.5228,0.3353,0.7896,0.5009,254,-36.22,34.06,-1.97,31.76,-5.91,-54.1,2,63.751,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1103,2018-09-02 17:22:42:944
-4.25E-01,1.69E+00,1.10E+01,7.9044,2.64,7.3243,7.4016,0.8387,6.3784,0.9609,1.6242,0.8111,-0.1472,-0.2112,-0.0509,344,-32.54,35.12,-5.84,25.11,-4.99,-49.44,2,66.123,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1203,2018-09-02 17:22:43:044
-1.09E+00,3.86E+00,8.38E+00,5.3991,4.7209,5.8976,7.5325,1.1814,6.1673,-2.1865,3.4214,0.4224,-1.009,-0.2437,-1.0496,450,-36.6,33.31,-4.09,27.43,-6.06,-50.28,2,66.123,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1303,2018-09-02 17:22:43:144
-3.72E+00,5.06E+00,5.53E+00,1.4623,5.7323,5.9203,7.6269,1.2298,6.0405,-5.4055,4.7511,0.2536,-1.1741,-0.1702,-0.4392,450,-38.85,34.06,-0.28,33.51,-7.43,-51.5,2,66.123,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1403,2018-09-02 17:22:43:244
-4.95E+00,3.83E+00,5.00E+00,0.2692,4.287,6.7649,7.4079,0.8924,6.3638,-6.7607,3.6433,0.5347,-0.3587,-0.1457,-0.0233,335,-39.6,36.25,1.41,34.81,-5.42,-49.26,0,66.123,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1503,2018-09-02 17:22:43:344
-3.61E+00,4.33E+00,1.57E+01,8.4273,5.5351,13.2532,7.0277,0.8693,6.7842,-4.937,6.3355,8.971,0.9447,-1.1992,1.3611,207,-40.29,39.94,-5.84,40.08,-4.47,-45.73,0,66.433,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1602,2018-09-02 17:22:43:443
-8.13E+00,7.16E+00,8.69E+00,0.4447,7.768,11.5037,6.5633,0.8369,7.2383,-5.8325,6.9676,4.5809,0.7838,2.224,0.5445,464,-34.04,42.5,-13.9,19.28,-4.11,-47.14,2,66.433,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1703,2018-09-02 17:22:43:544
-4.87E+00,3.72E+00,4.94E+00,-1.1707,4.1013,6.6154,5.8019,0.7755,7.8681,-7.2062,3.3642,-0.9518,1.4059,0.6314,2.5233,2931,-20.04,37,-28.78,358.39,-4.54,-36.4,2,66.433,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1803,2018-09-02 17:22:43:644
-4.53E+00,3.60E+00,5.35E+00,-0.6557,4.0074,6.752,5.6646,0.6741,7.9767,-5.9153,3.3392,-0.5171,1.0997,0.7539,2.2138,2931,-18.16,36.62,-28.78,358.39,-4.54,-36.4,2,61.85,19.300062,72.86194,-132.26,0,6.12,29.361288,57.7,Nov-33,1903,2018-09-02 17:22:43:744
