sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.7494;3.8284;8.8373;1.3954;4.3077;8.6987;-0.5334;-0.3643;0.8257;0.0265;0.0592;0.3421;251.0;0.06;-41.34;-6.96;181.88;-26.06;-9.11;3.1;997.93;59.056;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;38;2018-06-30 19:55:14:557
1.6928;3.2442;9.2587;1.1479;3.015;9.2608;0.7268;0.1335;-0.0213;-0.3436;0.2736;0.5211;271.0;-10.02;-37.5;-13.08;164.9;-17.91;-7.07;3.1;997.92;58.554;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;538;2018-06-30 19:55:15:057
1.6018;1.3097;8.3848;1.6535;1.6656;9.5217;-0.6216;-0.265;-0.5288;0.3515;-0.6525;-0.0549;282.0;-15.06;-33.6;-16.44;158.39;-9.78;-9.85;3.1;997.93;64.309;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;1039;2018-06-30 19:55:15:558
-0.0168;2.0232;8.6601;1.867;3.1605;9.0937;0.2399;-1.4558;-1.7577;0.7645;0.7403;-1.8466;311.0;-10.38;-37.98;-9.96;166.4;-18.8;-11.6;3.1;997.89;66.124;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;1538;2018-06-30 19:55:16:057
1.0678;5.4613;6.9745;0.2845;5.9591;7.7832;-1.247;0.7018;-0.4687;0.6038;0.7207;0.0147;278.0;4.98;-42.12;0.12;188.49;-37.42;-2.09;3.1;997.88;55.654;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;2038;2018-06-30 19:55:16:557
0.0144;6.1892;7.3169;0.3087;6.347;7.4694;-0.3877;0.0146;-0.2913;0.0992;-0.2548;-0.0892;184.0;3.66;-41.22;2.28;186.77;-39.91;-2.67;3.1;997.91;54.265;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;2538;2018-06-30 19:55:17:057
0.012;7.7144;5.2866;0.3571;7.3864;6.4407;-0.1129;-0.127;-1.0321;0.5629;-0.0465;0.1662;97.0;5.52;-40.98;7.62;189.4;-46.38;-2.32;3.1;997.92;59.932;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;3038;2018-06-30 19:55:17:557
1.1229;7.8173;5.1501;0.4891;8.2163;5.3313;0.3896;0.1086;-0.1334;0.2092;0.9168;0.7019;95.0;-3.18;-38.34;13.08;172.42;-56.91;-5.24;3.1;997.92;56.265;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;3538;2018-06-30 19:55:18:057
-0.8188;8.3177;4.7263;-0.5686;8.5151;4.8311;-0.2503;-0.1974;-0.1048;-0.0504;1.6639;0.9518;42.0;-23.94;-31.2;3.6;132.3;-60.26;6.71;3.1;997.91;58.249;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;4039;2018-06-30 19:55:18:558
1.8436;9.3903;0.6943;0.4368;8.838;4.2271;1.8474;-0.0558;-2.192;0.4584;0.2156;0.2462;136.0;-28.92;-20.1;-14.82;74.71;-64.32;-5.9;3.1;997.91;56.359;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;4538;2018-06-30 19:55:19:057
1.2235;9.4047;4.2067;0.5782;8.9248;4.0229;0.595;-0.1426;0.665;0.244;1.4092;0.3861;120.0;-19.26;-13.86;-32.04;29.22;-65.52;-8.18;3.1;997.93;59.214;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;5038;2018-06-30 19:55:19:557
0.3376;9.3257;3.0072;0.5182;8.8107;4.2748;0.1115;0.2157;-0.7313;0.1719;0.3359;0.132;67.0;-5.7;-9.96;-39.6;2.05;-63.95;-6.91;3.1;997.92;58.32;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;5539;2018-06-30 19:55:20:058
1.1923;9.4933;2.2602;0.7676;9.0573;3.6805;0.5205;-0.0908;0.4281;0.1567;-0.5034;-0.0818;41.0;-5.76;-14.34;-39.48;356.15;-67.46;-11.78;3.1;997.9;56.5;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;6038;2018-06-30 19:55:20:557
0.4956;9.613;3.6585;0.6441;9.1867;3.3704;-0.6728;-0.3925;0.9991;-0.0785;2.1172;0.6091;65.0;12.18;-16.8;-39.96;323.63;-69.87;-13.09;3.1;997.91;59.299;23.024704;72.53761;;NaN;;;235.1613;;0 / 0;6538;2018-06-30 19:55:21:057
