sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.0424;-0.4124;11.5409;2.6615;1.2697;9.3528;0.0053;-0.4485;0.4001;-0.9635;-0.7114;-0.157;1157.0;-41.83;11.19;-11.88;67.77;-14.77;-8.63;2.0;62.814;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;12 / 22;23;2018-06-13 18:54:18:481
2.4172;0.583;10.9357;3.0373;0.7702;9.2926;-0.3442;-0.4148;1.713;0.2022;-0.3982;0.3391;1157.0;-43.64;10.82;-13.56;69.74;-7.44;-15.88;2.0;62.814;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;12 / 22;123;2018-06-13 18:54:18:581
3.0836;1.0285;10.0565;2.995;1.0492;9.279;-0.3098;-0.6936;1.7033;0.6361;0.0849;0.329;1199.0;-42.58;11.94;-10.25;69.22;-6.14;-17.89;2.0;57.862;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;12 / 22;223;2018-06-13 18:54:18:681
3.6069;1.5794;8.3017;3.729;1.1933;8.9912;-0.6604;0.0663;1.2249;0.5882;-0.7999;0.3377;1199.0;-41.45;14.13;-6.5;64.75;-6.99;-22.53;2.0;57.862;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;12 / 22;323;2018-06-13 18:54:18:781
4.5835;0.2922;10.3707;3.5398;1.201;9.0663;-0.2677;0.7369;0.1473;-0.6014;0.5262;1.2533;1266.0;-40.7;18.88;-6.13;59.32;-7.03;-21.33;2.0;57.862;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;423;2018-06-13 18:54:18:881
3.9126;-0.7152;9.7908;3.422;0.2317;9.1873;0.7857;-0.1621;0.6258;0.2239;-0.0944;0.8116;1266.0;-37.76;22.57;-9.44;59.32;-7.03;-21.33;2.0;63.747;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;523;2018-06-13 18:54:18:981
4.1535;-0.9146;9.0054;3.1785;-0.0172;9.2772;0.2334;0.0928;-0.3725;-0.2434;0.4584;0.5795;1220.0;-37.08;24.07;-9.44;53.24;0.1;-18.91;2.0;63.747;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;622;2018-06-13 18:54:19:080
3.6295;-1.5447;10.2431;3.2576;-0.6797;9.2248;0.0123;-0.6469;0.2231;-0.4791;-0.1926;-0.0463;1220.0;-35.95;26.63;-7.31;50.95;3.97;-19.45;2.0;63.747;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;723;2018-06-13 18:54:19:181
3.4771;-1.6362;9.8013;3.8501;-1.1112;8.9505;0.006;-0.4363;1.0838;-0.5402;-0.5907;-0.3664;1202.0;-37.76;24.76;-5.25;55.52;6.51;-23.28;2.0;60.927;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;824;2018-06-13 18:54:19:282
6.0108;-0.3082;7.1964;4.4001;-1.0132;8.7053;0.006;-0.4363;1.0838;-0.5402;-0.5907;-0.3664;1202.0;-36.7;24.07;-0.69;55.9;5.93;-26.81;2.0;60.927;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;923;2018-06-13 18:54:19:381
4.5635;-0.2487;8.2833;5.1009;-0.5216;8.3594;0.7738;0.0838;-0.9196;0.4685;-1.086;-0.2723;1350.0;-36.7;24.07;-0.69;55.9;5.93;-26.81;2.0;60.927;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;1026;2018-06-13 18:54:19:484
6.5699;-0.3575;6.5347;5.3824;-0.4533;8.185;-0.5935;0.0585;-0.0806;-0.2598;-0.5445;-0.629;1423.0;-39.26;20.38;1.37;60.75;3.05;-31.39;2.0;60.927;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;1122;2018-06-13 18:54:19:580
6.5699;-0.3575;6.5347;5.3824;-0.4533;8.185;-0.5935;0.0585;-0.0806;-0.2598;-0.5445;-0.629;1423.0;-39.26;20.38;1.37;60.75;3.05;-31.39;2.0;60.927;19.300049;72.86193;-135.48;NaN;0.0;14.680644;;13 / 23;1223;2018-06-13 18:54:19:681
