sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.4382;6.7519;2.3536;0.1034;8.7686;4.3899;-0.5416;-2.0167;-2.0363;0.4992;-0.5455;0.2059;3121.0;-36.48;-25.32;-6.48;98.05;-63.4;-1.35;8.0;996.34;48.492;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;18 / 21;19;2018-06-12 12:14:41:273
-0.6249;8.0088;2.4877;0.19;9.0932;3.6671;-0.3026;-0.7539;-2.5442;0.6788;0.2162;0.0635;3227.0;-37.68;-25.98;-2.22;99.1;-68.01;-2.97;8.0;996.33;60.48;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;18 / 21;518;2018-06-12 12:14:41:772
0.668;9.048;4.8628;0.1693;9.0953;3.6629;0.4101;1.4323;2.4927;-0.3591;0.0268;0.0348;3170.0;-37.26;-25.74;-2.52;98.28;-68.04;-2.65;8.0;996.33;62.203;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;1018;2018-06-12 12:14:42:272
0.5866;10.9921;3.7231;0.1523;9.16;3.4988;0.4726;1.5975;0.7391;-0.2931;0.1612;0.1515;3509.0;-36.9;-25.68;-1.98;99.61;-69.25;-1.81;8.0;996.35;60.72;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;1518;2018-06-12 12:14:42:772
1.0702;11.1717;4.4462;0.4466;9.2443;3.2426;0.3651;2.0112;2.9131;0.6525;-0.1857;-0.036;3348.0;-38.76;-22.62;-6.96;84.13;-70.5;-7.84;8.0;996.34;59.759;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;2020;2018-06-12 12:14:43:274
0.5818;11.38;5.7846;0.3054;9.2393;3.273;0.0968;0.9244;-0.5603;-0.0323;0.2761;0.1271;4014.0;-38.88;-24.18;-3.6;91.31;-70.42;-5.33;8.0;996.35;61.391;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;2519;2018-06-12 12:14:43:773
-0.0096;9.6346;2.9258;0.3473;9.1825;3.425;-0.3713;-0.2998;-1.1097;-0.0182;0.0305;-0.1674;4272.0;-39.06;-22.56;-5.4;89.6;-69.45;-5.79;8.0;996.34;64.211;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;18 / 22;3018;2018-06-12 12:14:44:272
1.0104;6.6824;1.0559;0.311;9.2423;3.2639;0.6994;-2.5599;-2.2081;-0.1776;-0.4832;-0.1173;4239.0;-36.24;-26.52;3.66;104.79;-70.47;-5.44;8.0;996.35;54.042;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;18 / 22;3519;2018-06-12 12:14:44:773
0.8667;5.526;1.0056;0.5819;9.0974;3.615;0.2848;-3.5714;-2.6094;-0.0567;-0.336;-0.0965;3798.0;-36.0;-28.38;7.26;107.5;-68.08;-9.14;8.0;996.35;57.684;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;4018;2018-06-12 12:14:45:272
-0.5579;8.7559;3.9601;0.1829;9.2356;3.2926;-0.7408;-0.4797;0.6675;0.1651;0.5045;-0.5339;4732.0;-32.04;-30.3;11.76;121.13;-70.35;-3.18;8.0;996.34;50.322;23.03186;72.53672;-7.05;167.452231881824;;2.45;9.677419;39.23;19 / 22;4519;2018-06-12 12:14:45:773
