ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-85.2,1.4,290.8
-83.8,-22.2,178.1
-82.7,-29.0,169.9
-80.3,-28.1,173.6
-82.1,-35.0,166.6
-82.9,-43.9,157.7
-84.4,-44.1,156.7
-87.0,-32.0,167.5
-86.9,-30.0,170.9
-85.1,-24.8,178.1
-85.4,-19.3,183.9
-86.7,-29.0,173.4
-85.2,-60.6,143.7
-85.0,-51.2,153.3
-85.2,-53.6,148.0
-84.0,-40.5,160.0
-84.1,-45.0,152.8
-84.6,-49.2,147.2
-85.6,-61.2,136.9
-83.8,-26.1,172.4
-84.5,-21.4,175.2
-83.0,-20.3,178.9
-87.2,-0.6,201.3
-88.3,51.0,256.4
-79.2,23.2,283.8
-75.3,14.4,271.4
-75.9,7.5,263.4
-81.6,-20.3,256.3
-83.9,-30.8,246.2
-82.5,-15.4,251.0
-82.8,-19.5,247.1
-83.1,-39.6,228.1
-84.0,-29.7,230.3
-84.4,-22.2,238.1
-83.6,-27.7,240.0
-79.2,-31.0,236.1
-79.8,-40.8,224.5
-82.1,-35.5,235.2
-84.6,-50.3,223.5
-80.1,-33.1,235.6
-82.6,-48.5,229.1
-83.0,-42.4,235.1
-84.2,-37.0,244.0
-85.1,-40.1,242.6
-80.3,-37.1,257.7
-84.6,-36.2,257.8
-82.3,-38.9,224.7
-85.3,-49.0,221.9
-85.4,-72.4,204.2
-86.6,-109.8,166.9
-82.7,-43.3,232.1
-84.8,-71.4,203.4
-76.8,-16.1,172.3
-76.2,-12.9,176.5
-75.6,-10.6,180.2
-74.3,-3.0,192.5
-74.5,-3.6,192.1
-74.9,-8.7,189.8
-75.1,-9.8,187.1
-75.8,-9.9,189.7
-76.1,-10.1,188.8
-77.2,-11.9,186.3
-77.6,-11.8,188.5
-77.7,-12.5,185.3
-77.6,-14.3,181.9
-76.2,-14.7,177.5
-74.5,-12.3,179.3
-74.8,-10.8,180.8
-74.7,-10.9,180.3
-74.0,-9.9,181.8
-73.5,-10.3,183.7
-72.6,-10.8,185.2
-72.1,-12.4,184.7
-69.3,-14.0,184.0
-68.9,-13.7,188.7
-68.5,-14.5,188.3
-69.1,-13.8,188.8
-69.8,-13.1,189.3
-70.2,-14.1,187.9
-70.8,-14.6,183.1
-69.9,-13.2,184.6
-72.8,-7.7,357.6
-73.5,-7.3,357.9
-75.0,-9.5,355.3
-75.4,-9.9,354.9
-75.2,-10.7,355.6
-74.8,-11.3,356.7
-73.3,-8.0,0.1
-72.7,-7.3,359.2
-73.0,-6.3,1.8
-73.3,-8.9,4.1
-75.1,-14.1,4.0
-75.6,-18.2,6.1
-75.0,-21.2,21.4
-74.4,-23.9,28.6
-70.9,-30.3,38.6
-70.2,-32.8,48.3
-69.6,-32.6,54.5
-70.6,-27.6,73.0
-71.0,-26.2,76.5
-68.0,-8.4,181.7
-69.6,-7.4,182.2
-70.2,-6.7,182.7
-70.5,-6.0,183.1
-70.5,-5.7,180.8
-71.1,-5.3,180.9
-70.9,-4.9,186.1
-70.7,-2.8,182.4
-70.8,-4.7,183.1
-72.0,-4.0,185.7
-72.9,-4.3,187.6
-73.5,-5.6,191.1
-73.1,-5.9,190.7
-72.2,-6.6,194.6
-71.5,-5.6,195.1
-72.1,-3.4,196.3
-72.1,-2.2,199.8
-71.6,-2.2,195.3
-71.8,-1.3,195.6
-70.6,-0.5,192.4
-70.5,-1.0,192.3
-72.3,-4.4,1.4
-71.5,-3.2,2.4
-71.1,-2.4,4.8
-70.9,-3.7,3.4
-71.5,-4.7,5.1
-71.7,-6.2,4.9
-72.1,-6.8,9.9
-71.4,-7.3,10.9
-70.8,-5.3,17.6
-70.4,-5.4,18.3
-70.3,-4.4,20.2
-72.0,-1.6,24.1
-72.4,-4.1,17.4
-73.4,-0.9,19.4
-78.3,-12.1,178.0
-79.5,-14.5,172.8
-80.0,-16.6,170.7
-80.4,-16.8,170.8
-79.8,-15.9,171.2
-79.8,-17.5,167.8
-79.7,-12.9,171.4
-78.3,-5.0,178.0
-78.2,-4.8,176.3
-78.5,-5.1,179.9
-78.8,-6.1,181.1
-79.6,-8.4,181.2
-79.7,-8.1,181.9
-77.5,-12.1,183.1
-76.3,-12.7,184.4
-75.6,-9.5,195.0
-74.7,-12.0,193.6
-73.4,-12.9,191.6
-73.1,-13.3,194.0
-79.1,-15.6,353.8
-79.4,-14.6,353.3
-81.0,-16.8,349.8
-82.3,-21.0,348.5
-83.7,-19.4,350.3
-83.7,-19.1,350.6
-82.1,-11.1,357.5
-81.8,-15.4,352.9
-81.4,-12.1,354.5
-81.4,-10.7,355.8
-81.7,-8.3,2.0
-81.7,-8.1,2.2
-81.8,-8.8,2.7
-80.4,-12.6,4.4
-79.8,-17.6,2.4
-79.4,-19.9,2.1
-78.4,-16.8,7.4
-74.2,-2.3,189.4
-75.0,-1.8,189.4
-77.0,-2.3,187.2
-77.6,-2.2,189.6
-77.8,-1.5,189.7
-77.2,0.1,189.0
-76.3,0.7,189.0
-76.5,-0.4,188.2
-76.5,0.4,188.9
-76.7,0.9,189.2
-77.0,2.7,192.8
-77.1,2.1,194.0
-77.6,1.8,201.2
-76.4,-0.3,201.2
-79.6,-7.2,358.2
-80.1,-7.3,356.4
-80.4,-5.4,358.7
-80.0,-5.9,359.8
-78.8,-3.9,2.0
-77.7,0.9,7.3
-75.3,4.1,10.7
-75.4,5.0,13.4
-75.7,3.3,15.0
-75.9,1.6,16.1
-76.3,-3.7,20.1
-75.8,-4.7,27.6
-75.3,-6.7,39.2
-75.3,-9.5,44.1
-75.4,-20.2,48.2
-75.2,-24.2,52.0
-74.4,-25.8,61.4
-74.2,-23.8,71.6
-74.6,-19.7,84.1
-75.2,-18.9,88.9
-73.3,-0.7,188.4
-73.9,-1.2,188.1
-74.4,-3.2,191.9
-74.8,-4.2,185.8
-74.6,-2.4,187.1
-74.9,-1.6,189.3
-74.9,-3.6,188.5
-74.4,-0.3,188.6
-74.1,1.1,189.2
-73.7,2.4,192.7
-74.1,3.2,194.6
-73.9,2.3,196.1
-72.8,-0.3,194.5
-73.1,-3.7,197.0
-73.6,-1.2,202.1
-73.2,-2.9,204.9
-72.7,-3.1,203.6
-72.9,-2.3,202.6
-72.7,-2.8,202.0
-73.0,-4.3,194.4
-72.8,-22.5,347.0
-74.2,-21.5,348.0
-74.2,-19.5,348.9
-74.3,-19.0,349.3
-73.5,-18.7,349.9
-70.9,-11.4,357.8
-70.8,-10.9,358.1
-70.7,-11.6,358.7
-71.5,-11.0,1.0
-72.5,-11.8,359.7
-72.3,-10.8,358.2
-71.7,-12.3,357.8
-76.6,-10.9,189.0
-76.8,-10.0,187.7
-78.4,-9.9,188.0
-79.0,-9.9,188.8
-78.1,-9.7,188.2
-76.0,-5.8,188.2
-75.3,-7.2,185.1
-75.5,-4.3,186.9
-76.2,-1.4,189.6
-75.8,-4.6,185.0
-76.4,-8.9,181.5
-77.8,-9.3,178.8
-80.4,-5.2,184.3
-77.8,-9.3,179.1
-75.4,-8.2,182.3
-76.8,-5.7,186.4
-76.1,-7.2,183.1
-75.3,-8.2,180.2
-74.1,-11.1,181.0
-74.4,-14.3,179.3
-73.0,-15.7,173.6
-76.1,-10.6,354.3
-74.8,-5.7,359.7
-74.1,-3.6,0.6
-74.4,-3.2,359.5
-74.6,-3.8,358.8
-74.6,-1.9,359.4
-73.2,0.1,1.6
-71.4,0.0,2.9
-69.8,-3.3,1.9
-74.8,-12.7,182.0
-74.9,-10.2,187.8
-75.0,-9.6,186.9
-75.3,-10.3,183.7
-73.9,-7.9,181.0
-74.0,-5.9,182.5
-73.6,-3.7,184.0
-73.6,-3.4,183.9
-73.8,-3.7,187.8
-74.0,-5.8,184.3
-73.6,-10.5,188.2
-73.1,-11.0,193.4
-72.4,-15.3,190.5
-72.0,-17.8,189.6
-69.7,-22.2,188.2
-69.8,-20.9,188.2
-74.7,-6.3,0.5
-73.8,-4.6,2.7
-72.8,-0.5,8.8
-73.2,-0.3,7.4
-73.1,-0.8,8.6
-73.8,-1.3,9.5
-73.5,-3.9,9.2
-72.7,-5.5,7.2
-70.9,-8.1,5.7
-70.9,-8.3,6.6
-71.3,-8.0,9.6
-70.8,-10.9,3.5
-70.4,-12.2,0.4
-71.2,-14.6,353.0
-72.7,-5.4,188.7
