ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-78.3,-33.8,262.3
-79.6,-25.9,272.6
-79.4,-24.5,271.7
-79.8,-30.8,269.3
-83.0,-25.9,275.8
-82.1,-33.6,266.8
-79.8,-33.6,268.4
-80.9,-28.0,274.4
-82.3,-34.6,269.5
-82.2,-37.0,271.4
-81.9,-45.9,265.7
-81.5,-57.0,256.6
-80.8,-49.5,264.5
-82.5,-45.5,267.7
-80.4,-45.6,269.7
-78.8,-43.5,273.9
-81.2,-45.1,269.3
-81.5,-46.4,269.6
-80.3,-38.7,272.9
-80.5,-30.7,283.8
-81.1,-26.9,289.2
-82.3,-30.5,284.1
-83.7,-33.2,279.9
-83.8,-37.9,273.9
-83.6,-43.5,271.5
-82.3,-37.7,274.3
-81.9,-30.6,279.8
-82.1,-27.2,282.7
-82.5,-21.8,287.4
-83.2,-20.3,288.1
-81.5,-13.4,295.6
-81.2,-12.4,297.2
-81.5,-16.5,293.1
-82.7,-20.7,289.6
-85.3,-26.3,285.5
-86.4,-33.0,279.5
-86.3,-27.3,284.1
-84.6,-30.5,284.4
-83.8,-24.2,291.2
-84.1,-22.6,293.3
-84.4,-16.7,298.4
-83.6,-8.3,309.0
-82.0,2.3,319.7
-83.8,11.4,323.0
-81.5,-4.8,310.5
-80.7,-6.9,307.9
-81.0,-10.4,306.6
-82.2,-13.6,304.8
-81.4,-26.7,290.9
-82.2,-33.0,289.3
-82.7,-30.9,291.8
-83.3,-33.2,289.8
-84.7,-42.6,280.0
-85.2,-56.9,263.7
-85.2,-17.5,302.6
-83.2,-27.3,289.2
-82.5,-21.7,292.1
-82.4,-14.6,295.0
-84.1,-3.5,299.4
-84.3,-10.9,291.1
-84.9,-11.8,287.8
-84.9,-11.8,289.1
-85.3,2.1,298.8
-85.4,4.8,299.5
-85.9,-3.6,289.7
-86.4,-6.5,287.0
-86.9,0.7,290.2
-84.3,2.2,289.4
-85.5,-0.6,288.9
-87.3,-11.4,277.7
-88.3,-21.8,268.5
-89.6,-14.7,276.0
-88.3,-9.7,281.2
-87.6,-32.7,260.7
-88.4,-21.2,270.7
-89.0,-10.8,281.5
-89.2,19.8,310.9
-89.5,-98.2,190.2
-86.7,-17.5,271.5
-85.4,-13.6,274.4
-85.5,-15.8,269.4
-86.7,-12.4,275.1
-86.2,-19.4,267.9
-84.7,-19.2,268.6
-84.4,-10.0,277.5
-85.6,-17.1,271.2
-86.1,-29.5,259.3
-86.9,-36.4,251.4
-87.4,-32.0,257.7
-86.5,-22.0,269.1
-84.7,-20.5,268.6
-84.8,-21.9,269.6
-86.2,-24.3,267.6
-87.2,-45.0,248.2
-87.3,-29.2,264.0
-86.3,-28.0,266.7
-85.6,-28.8,266.8
-85.1,-43.4,254.2
-85.5,-51.4,246.6
-86.8,-63.1,234.6
-86.7,-51.0,247.8
-87.7,-54.8,241.1
-85.1,-35.8,258.6
-85.0,-35.6,258.3
-85.6,-43.3,250.3
-87.1,-58.9,231.5
-87.7,-62.1,232.4
-87.9,-56.6,239.5
-88.1,-52.2,245.4
-88.4,-39.8,259.3
-88.8,-75.9,222.3
-88.4,-101.5,196.9
-87.8,-124.0,179.2
-87.0,-119.3,183.8
-87.1,-100.4,199.9
-88.3,-112.1,185.8
-88.7,164.4,101.9
-87.1,142.1,72.6
-86.6,124.8,48.3
-86.3,118.8,30.1
-87.2,74.7,337.0
-87.2,72.0,329.4
-88.2,47.6,303.4
-88.0,-43.0,214.7
-88.3,-86.8,178.3
-86.8,-127.9,152.7
-87.8,-121.9,164.4
-87.6,-71.2,229.2
-87.6,-82.1,225.3
-87.4,-97.7,216.3
-88.0,-156.3,161.3
-89.0,102.0,55.4
-87.6,99.9,51.8
-86.3,20.2,320.9
-85.7,25.5,319.8
-86.2,19.4,309.0
-87.2,27.2,312.6
-87.6,31.8,317.5
-86.4,-4.6,275.4
-83.1,-8.4,269.8
-82.4,-13.1,263.1
-82.5,-20.8,255.5
-84.2,-25.4,253.4
-83.5,-27.2,253.1
-83.9,-27.8,255.5
-83.4,-23.9,259.0
-84.0,-25.8,257.5
-83.5,-25.2,255.0
-83.3,-16.5,258.7
-82.9,-13.9,257.6
-81.5,-9.6,254.5
-78.4,-0.6,255.6
-77.4,4.5,256.6
-77.3,3.8,255.9
-79.3,4.0,250.3
-81.6,5.8,249.2
-83.0,19.8,260.5
-81.3,5.1,247.4
-79.1,-13.0,228.6
-78.3,-15.8,225.2
-78.6,-12.9,227.9
-80.2,-13.4,226.0
-84.0,-23.1,216.2
-82.3,-26.9,211.9
-80.4,-19.4,220.5
-79.4,-20.9,220.1
-79.6,-23.9,219.6
-79.9,-29.1,217.9
-79.4,-31.0,218.7
-78.6,-23.4,232.8
-79.1,-22.1,239.7
-81.0,-27.0,242.2
-81.0,-32.7,236.9
-80.0,-30.1,246.5
-81.4,-31.5,247.4
-79.3,-31.5,250.8
-77.9,-28.5,257.5
-78.7,-28.2,259.9
-80.4,-31.9,260.7
-80.3,-37.5,258.5
-81.0,-41.6,259.0
-80.2,-45.5,261.4
-81.5,-53.8,257.1
-82.4,-65.6,251.5
-80.6,-51.5,269.2
-80.8,-46.5,276.7
-78.9,-41.4,280.8
-78.4,-40.3,280.2
-77.3,-40.1,277.6
-77.2,-42.1,276.5
-81.1,-47.7,271.2
-80.9,-42.7,276.1
-81.3,-35.9,282.3
-81.2,-36.9,283.3
-82.8,-47.2,275.1
-82.8,-52.3,266.6
-82.5,-38.5,283.6
-80.4,-38.5,283.3
-78.6,-31.9,286.0
-79.3,-34.6,280.2
-80.0,-44.7,269.3
-80.3,-54.5,258.6
-82.3,-43.8,267.9
-83.4,-48.3,262.3
-81.7,-46.2,265.3
-82.2,-46.3,261.0
-82.7,-53.6,253.2
-85.0,-81.9,222.5
-84.8,-69.5,230.1
-84.1,-28.7,262.0
-81.8,-18.8,269.7
-80.0,-19.7,266.0
-79.9,-22.3,260.0
-78.8,-18.7,262.5
-78.4,-16.4,263.5
-78.9,-10.3,272.8
-80.7,-2.7,278.5
-80.6,1.6,287.7
-80.4,5.1,289.5
-78.2,0.9,285.2
-77.3,-1.0,281.3
-74.3,-9.2,277.0
-74.7,-2.9,284.4
-74.3,-1.1,285.5
-74.8,1.5,286.2
-74.5,-0.6,284.2
-73.3,-8.2,280.5
-76.3,-3.1,286.5
-76.9,-3.6,285.7
-76.7,-0.6,290.6
-77.8,3.2,291.0
-80.0,3.5,289.8
-80.6,2.3,288.0
-79.0,-4.8,281.1
-77.2,-5.1,282.5
-76.9,-6.4,277.1
-78.1,-12.9,273.8
-77.7,-14.9,270.5
-79.9,-8.8,276.2
-85.6,14.1,297.7
-85.4,-4.6,279.0
-86.4,-31.4,251.9
-89.2,169.9,89.6
-87.7,-161.4,119.2
-88.4,-85.7,195.0
-84.0,-38.0,243.9
-82.4,-36.9,245.7
-83.2,-50.4,231.9
-82.2,-48.8,234.3
-81.7,-35.8,249.5
-82.7,-36.0,250.0
-84.6,-31.9,257.3
-85.0,-21.7,266.8
-85.2,-15.1,273.5
-83.9,-5.1,283.8
-84.0,-22.9,264.8
-81.2,-21.6,265.8
-80.9,-17.3,272.6
-81.1,-22.6,267.9
-84.6,-32.2,262.7
-84.0,-26.0,273.9
-83.5,-22.7,279.0
-83.0,-30.6,277.1
-84.7,-43.5,265.5
-85.9,-68.0,242.0
-84.4,-48.9,261.6
-85.4,-45.4,262.0
-84.6,-42.9,261.3
-81.7,-34.1,269.0
-81.2,-23.0,278.3
-80.2,-31.0,271.1
-81.2,-32.6,268.3
-80.7,-41.8,262.4
-79.1,-42.7,264.6
-81.2,-31.8,277.1
-83.5,-34.6,271.7
-84.1,-46.7,258.8
-84.7,-43.9,258.4
-85.4,-63.9,235.6
-82.6,-48.1,248.5
-79.3,-26.6,266.3
-79.6,-26.4,263.6
-81.7,-42.2,248.1
-80.1,-44.6,246.8
-79.2,-49.1,245.8
-79.6,-49.5,247.2
-78.9,-50.0,252.3
-79.2,-54.9,247.4
-80.6,-60.4,245.3
-83.0,-78.3,224.2
-81.0,-64.3,241.7
-78.9,-58.6,248.1
-78.3,-59.3,248.0
-77.7,-60.9,250.3
-79.2,-62.5,245.6
-77.3,-54.6,253.3
-77.7,-48.7,256.2
-79.3,-48.5,256.4
-80.1,-56.9,247.5
-79.7,-68.4,235.2
-80.0,-70.9,233.0
-82.9,-73.4,228.0
-81.1,-53.4,248.1
-81.6,-47.9,251.0
-82.9,-52.8,245.6
-82.7,-65.2,232.9
-81.3,-70.3,226.0
-81.0,-67.3,228.6
-81.4,-62.6,232.6
-81.2,-61.0,236.1
-81.6,-67.5,231.7
-82.0,-74.9,224.4
-82.6,-75.7,221.1
-82.0,-69.6,224.8
-80.1,-54.3,238.9
-79.0,-45.9,245.1
-79.5,-46.6,241.2
-79.1,-61.9,228.1
-79.1,-62.4,227.4
-77.6,-58.6,231.4
-77.3,-56.1,233.2
-77.9,-57.2,237.7
-79.1,-61.1,234.0
-79.7,-63.3,233.4
-79.8,-64.6,233.1
-79.2,-62.6,233.6
-77.7,-51.3,242.6
-77.2,-44.5,249.0
-78.1,-45.0,248.9
-80.0,-52.2,241.0
-80.0,-61.5,233.5
-80.8,-63.4,235.1
-82.1,-68.5,232.0
-81.5,-66.6,235.5
-81.3,-71.6,232.7
-81.0,-75.1,227.8
-80.2,-83.4,219.7
-80.8,-69.1,228.9
-79.6,-63.6,235.6
-78.9,-68.1,230.2
-78.9,-79.4,218.6
-78.8,-86.2,211.1
-79.1,-85.6,211.7
-80.4,-78.5,218.1
-81.7,-66.6,228.5
-82.4,-64.4,229.3
-83.6,-76.8,218.3
-83.9,-77.8,213.3
-83.0,-77.8,212.0
-82.4,-67.5,219.8
-81.9,-56.5,230.8
-83.1,-59.3,225.7
-82.4,-79.0,206.0
-81.9,-88.2,199.5
-80.7,-83.7,203.3
-81.4,-80.3,209.1
-81.2,-80.9,210.3
-80.6,-85.9,209.2
-79.9,-91.0,206.5
-80.3,-93.5,206.5
-81.6,-98.2,199.2
-81.5,-81.7,213.9
-80.9,-69.6,226.0
-81.7,-74.0,219.0
-81.3,-76.4,217.9
-81.7,-84.2,211.7
-81.2,-82.6,213.9
-81.1,-78.3,218.5
-80.9,-81.7,216.5
-81.0,-88.9,206.1
-81.3,-92.2,200.3
-82.1,-94.5,193.5
-82.6,-87.3,196.7
-81.9,-51.1,229.2
-80.9,-40.0,239.3
-80.7,-41.2,237.9
-81.2,-61.7,217.9
-80.1,-63.1,216.1
-79.4,-57.0,223.1
-80.4,-62.1,215.7
-79.8,-64.5,213.3
-78.8,-69.2,210.7
-80.0,-79.3,201.9
-80.2,-87.0,190.8
-79.5,-67.4,204.2
-76.0,-35.7,234.7
-70.9,-34.7,235.6
-73.9,-42.8,226.0
-74.8,-55.3,218.9
-74.6,-53.5,226.9
-74.8,-51.8,231.9
-77.3,-57.3,233.0
-78.9,-59.5,231.7
-78.6,-60.9,230.0
-80.5,-63.7,224.1
-81.2,-71.7,210.7
-79.8,-60.6,222.9
-80.2,-61.2,219.4
-81.1,-59.5,219.7
-82.6,-65.0,215.4
-80.4,-58.9,224.6
-80.4,-54.6,233.2
-82.1,-64.6,225.2
-83.6,-62.6,229.3
-84.1,-62.3,228.5
-83.3,-57.6,231.9
-83.8,-75.4,209.3
-81.8,-62.0,222.8
-78.8,-45.8,235.8
-78.8,-44.0,237.1
-79.2,-44.1,237.2
-75.0,-47.0,238.7
-75.2,-44.7,247.1
-77.2,-40.3,251.2
-81.0,-38.1,257.0
-81.4,-40.0,256.8
-82.3,-59.2,239.0
-83.1,-67.4,230.8
-82.8,-58.3,239.1
-81.6,-53.9,243.9
-83.1,-63.1,232.3
-83.3,-72.1,225.1
-85.9,-99.1,195.1
-85.9,-78.4,217.6
-85.8,-50.3,246.9
-83.8,-60.9,236.6
-84.3,-58.8,238.4
-84.4,-53.4,240.2
-82.4,-46.9,247.1
-83.3,-60.6,231.9
-82.2,-49.2,241.8
-84.0,-50.8,237.9
-83.0,-41.3,246.5
-82.5,-39.9,247.4
-81.7,-38.0,250.6
-81.2,-37.5,250.2
-80.7,-35.0,252.2
-81.6,-31.3,258.0
-82.9,-27.2,260.7
-84.2,-33.1,257.6
-85.2,-43.7,246.8
-85.1,-38.2,250.4
-84.9,-42.8,244.4
-84.0,-34.0,252.3
-85.2,-42.7,243.1
